A,A_name,B,B_name,L_strict,L_loose,S_undir
1000,水泥,2000,造紙,0,0,0
1000,水泥,3000,汽車,0,0,0
1000,水泥,4100,太空衛星科技,0,0,0
1000,水泥,5100,區塊鏈,0,0,0
1000,水泥,5200,金融科技,0,0,0
1000,水泥,5300,人工智慧,0,0,0
1000,水泥,5400,雲端運算,0,0,0
1000,水泥,5500,資通訊安全,0,0,0
1000,水泥,5600,大數據,0,0,0
1000,水泥,5700,體驗科技,0,0,0
1000,水泥,5800,運動科技,0,0,0
1000,水泥,6000,自動化,0,0,0
1000,水泥,B000,休閒娛樂,0,0,0
1000,水泥,C100,製藥,0,0,0
1000,水泥,C200,醫療器材,0,0,0
1000,水泥,C300,食品生技,0,0,0
1000,水泥,C400,再生醫療,0,0,0
1000,水泥,D000,半導體,0,0,0
1000,水泥,F000,電腦週邊,0,0,0
1000,水泥,G000,平面顯示器,0,0,0
1000,水泥,H000,觸控面板,0,0,0
1000,水泥,I000,通信網路,0,0,0
1000,水泥,J000,被動元件,0,0,0
1000,水泥,K000,連接器,0,0,0
1000,水泥,L000,印刷電路板,0,0,0
1000,水泥,M000,食品,0,0,0
1000,水泥,N000,石化及塑橡膠,0,0,0
1000,水泥,O000,紡織,0,0,0
1000,水泥,P000,電機機械,0,0,0
1000,水泥,Q000,鋼鐵,0,0,0
1000,水泥,R000,軟體服務,0,0,0
1000,水泥,R300,電子商務,0,0,0
1000,水泥,S000,建材營造,1,3,3
1000,水泥,T000,交通運輸及航運,0,0,1
1000,水泥,U000,金融,0,0,1
1000,水泥,V000,貿易百貨,0,0,0
1000,水泥,W000,油電燃氣,0,0,0
1000,水泥,X000,其他,0,0,1
1000,水泥,Y000,文化創意,0,0,0
2000,造紙,1000,水泥,0,0,0
2000,造紙,3000,汽車,0,0,0
2000,造紙,4100,太空衛星科技,0,0,0
2000,造紙,5100,區塊鏈,0,0,0
2000,造紙,5200,金融科技,0,0,0
2000,造紙,5300,人工智慧,0,0,0
2000,造紙,5400,雲端運算,0,0,0
2000,造紙,5500,資通訊安全,0,0,1
2000,造紙,5600,大數據,0,0,0
2000,造紙,5700,體驗科技,0,0,0
2000,造紙,5800,運動科技,0,0,0
2000,造紙,6000,自動化,0,0,0
2000,造紙,B000,休閒娛樂,0,0,0
2000,造紙,C100,製藥,0,1,1
2000,造紙,C200,醫療器材,0,0,0
2000,造紙,C300,食品生技,0,0,0
2000,造紙,C400,再生醫療,0,0,0
2000,造紙,D000,半導體,0,0,0
2000,造紙,F000,電腦週邊,0,0,1
2000,造紙,G000,平面顯示器,0,0,0
2000,造紙,H000,觸控面板,0,0,0
2000,造紙,I000,通信網路,0,0,0
2000,造紙,J000,被動元件,0,0,0
2000,造紙,K000,連接器,0,0,0
2000,造紙,L000,印刷電路板,0,1,1
2000,造紙,M000,食品,0,0,0
2000,造紙,N000,石化及塑橡膠,0,0,1
2000,造紙,O000,紡織,0,0,0
2000,造紙,P000,電機機械,0,0,0
2000,造紙,Q000,鋼鐵,0,0,0
2000,造紙,R000,軟體服務,0,0,1
2000,造紙,R300,電子商務,0,0,0
2000,造紙,S000,建材營造,0,0,0
2000,造紙,T000,交通運輸及航運,0,0,0
2000,造紙,U000,金融,0,0,0
2000,造紙,V000,貿易百貨,0,0,0
2000,造紙,W000,油電燃氣,0,0,0
2000,造紙,X000,其他,0,0,2
2000,造紙,Y000,文化創意,0,0,0
3000,汽車,1000,水泥,0,0,0
3000,汽車,2000,造紙,0,0,0
3000,汽車,4100,太空衛星科技,0,0,2
3000,汽車,5100,區塊鏈,0,0,0
3000,汽車,5200,金融科技,0,0,0
3000,汽車,5300,人工智慧,0,0,4
3000,汽車,5400,雲端運算,1,1,4
3000,汽車,5500,資通訊安全,0,0,0
3000,汽車,5600,大數據,0,0,1
3000,汽車,5700,體驗科技,0,0,5
3000,汽車,5800,運動科技,0,0,4
3000,汽車,6000,自動化,0,0,0
3000,汽車,B000,休閒娛樂,0,0,2
3000,汽車,C100,製藥,0,0,0
3000,汽車,C200,醫療器材,0,1,7
3000,汽車,C300,食品生技,0,0,0
3000,汽車,C400,再生醫療,0,0,0
3000,汽車,D000,半導體,0,0,6
3000,汽車,F000,電腦週邊,1,1,17
3000,汽車,G000,平面顯示器,0,0,11
3000,汽車,H000,觸控面板,0,0,3
3000,汽車,I000,通信網路,0,0,7
3000,汽車,J000,被動元件,0,0,3
3000,汽車,K000,連接器,0,0,3
3000,汽車,L000,印刷電路板,0,0,1
3000,汽車,M000,食品,0,0,0
3000,汽車,N000,石化及塑橡膠,0,0,6
3000,汽車,O000,紡織,0,0,0
3000,汽車,P000,電機機械,0,0,21
3000,汽車,Q000,鋼鐵,0,0,0
3000,汽車,R000,軟體服務,0,0,1
3000,汽車,R300,電子商務,0,0,0
3000,汽車,S000,建材營造,0,0,3
3000,汽車,T000,交通運輸及航運,0,0,0
3000,汽車,U000,金融,0,0,0
3000,汽車,V000,貿易百貨,0,0,1
3000,汽車,W000,油電燃氣,0,0,0
3000,汽車,X000,其他,0,0,12
3000,汽車,Y000,文化創意,0,0,0
4100,太空衛星科技,1000,水泥,0,0,0
4100,太空衛星科技,2000,造紙,0,0,0
4100,太空衛星科技,3000,汽車,0,0,2
4100,太空衛星科技,5100,區塊鏈,0,0,1
4100,太空衛星科技,5200,金融科技,0,0,1
4100,太空衛星科技,5300,人工智慧,0,0,5
4100,太空衛星科技,5400,雲端運算,0,1,5
4100,太空衛星科技,5500,資通訊安全,0,0,2
4100,太空衛星科技,5600,大數據,0,0,3
4100,太空衛星科技,5700,體驗科技,0,0,3
4100,太空衛星科技,5800,運動科技,0,0,2
4100,太空衛星科技,6000,自動化,0,0,0
4100,太空衛星科技,B000,休閒娛樂,0,0,2
4100,太空衛星科技,C100,製藥,0,0,0
4100,太空衛星科技,C200,醫療器材,0,0,3
4100,太空衛星科技,C300,食品生技,0,0,0
4100,太空衛星科技,C400,再生醫療,0,0,0
4100,太空衛星科技,D000,半導體,0,0,6
4100,太空衛星科技,F000,電腦週邊,0,0,4
4100,太空衛星科技,G000,平面顯示器,0,0,2
4100,太空衛星科技,H000,觸控面板,0,0,2
4100,太空衛星科技,I000,通信網路,0,0,10
4100,太空衛星科技,J000,被動元件,0,0,1
4100,太空衛星科技,K000,連接器,0,0,2
4100,太空衛星科技,L000,印刷電路板,0,0,2
4100,太空衛星科技,M000,食品,0,0,0
4100,太空衛星科技,N000,石化及塑橡膠,0,0,0
4100,太空衛星科技,O000,紡織,0,0,0
4100,太空衛星科技,P000,電機機械,0,0,3
4100,太空衛星科技,Q000,鋼鐵,0,0,0
4100,太空衛星科技,R000,軟體服務,0,0,3
4100,太空衛星科技,R300,電子商務,0,0,1
4100,太空衛星科技,S000,建材營造,0,0,1
4100,太空衛星科技,T000,交通運輸及航運,0,0,0
4100,太空衛星科技,U000,金融,0,0,0
4100,太空衛星科技,V000,貿易百貨,0,0,0
4100,太空衛星科技,W000,油電燃氣,0,0,0
4100,太空衛星科技,X000,其他,0,0,1
4100,太空衛星科技,Y000,文化創意,0,0,0
5100,區塊鏈,1000,水泥,0,0,0
5100,區塊鏈,2000,造紙,0,0,0
5100,區塊鏈,3000,汽車,0,0,0
5100,區塊鏈,4100,太空衛星科技,0,0,1
5100,區塊鏈,5200,金融科技,0,0,4
5100,區塊鏈,5300,人工智慧,0,0,6
5100,區塊鏈,5400,雲端運算,0,0,5
5100,區塊鏈,5500,資通訊安全,0,0,4
5100,區塊鏈,5600,大數據,0,0,4
5100,區塊鏈,5700,體驗科技,0,0,2
5100,區塊鏈,5800,運動科技,0,0,2
5100,區塊鏈,6000,自動化,0,0,0
5100,區塊鏈,B000,休閒娛樂,0,0,0
5100,區塊鏈,C100,製藥,0,0,0
5100,區塊鏈,C200,醫療器材,0,0,0
5100,區塊鏈,C300,食品生技,0,0,0
5100,區塊鏈,C400,再生醫療,0,0,0
5100,區塊鏈,D000,半導體,0,0,1
5100,區塊鏈,F000,電腦週邊,0,0,5
5100,區塊鏈,G000,平面顯示器,0,0,1
5100,區塊鏈,H000,觸控面板,0,0,0
5100,區塊鏈,I000,通信網路,0,0,2
5100,區塊鏈,J000,被動元件,0,0,0
5100,區塊鏈,K000,連接器,0,0,0
5100,區塊鏈,L000,印刷電路板,0,0,0
5100,區塊鏈,M000,食品,0,0,0
5100,區塊鏈,N000,石化及塑橡膠,0,0,0
5100,區塊鏈,O000,紡織,0,0,0
5100,區塊鏈,P000,電機機械,0,0,0
5100,區塊鏈,Q000,鋼鐵,0,0,0
5100,區塊鏈,R000,軟體服務,0,0,5
5100,區塊鏈,R300,電子商務,0,0,3
5100,區塊鏈,S000,建材營造,0,0,0
5100,區塊鏈,T000,交通運輸及航運,0,0,0
5100,區塊鏈,U000,金融,0,0,0
5100,區塊鏈,V000,貿易百貨,0,0,0
5100,區塊鏈,W000,油電燃氣,0,0,0
5100,區塊鏈,X000,其他,0,0,1
5100,區塊鏈,Y000,文化創意,0,0,2
5200,金融科技,1000,水泥,0,0,0
5200,金融科技,2000,造紙,0,0,0
5200,金融科技,3000,汽車,0,0,0
5200,金融科技,4100,太空衛星科技,0,0,1
5200,金融科技,5100,區塊鏈,0,0,4
5200,金融科技,5300,人工智慧,0,0,15
5200,金融科技,5400,雲端運算,0,0,15
5200,金融科技,5500,資通訊安全,0,0,11
5200,金融科技,5600,大數據,0,0,14
5200,金融科技,5700,體驗科技,0,0,1
5200,金融科技,5800,運動科技,0,0,1
5200,金融科技,6000,自動化,0,0,0
5200,金融科技,B000,休閒娛樂,0,0,2
5200,金融科技,C100,製藥,0,0,0
5200,金融科技,C200,醫療器材,0,0,1
5200,金融科技,C300,食品生技,0,0,0
5200,金融科技,C400,再生醫療,0,0,0
5200,金融科技,D000,半導體,0,0,0
5200,金融科技,F000,電腦週邊,0,0,3
5200,金融科技,G000,平面顯示器,0,0,0
5200,金融科技,H000,觸控面板,0,0,0
5200,金融科技,I000,通信網路,0,0,2
5200,金融科技,J000,被動元件,0,0,0
5200,金融科技,K000,連接器,0,0,0
5200,金融科技,L000,印刷電路板,0,0,0
5200,金融科技,M000,食品,0,0,0
5200,金融科技,N000,石化及塑橡膠,0,0,0
5200,金融科技,O000,紡織,0,0,0
5200,金融科技,P000,電機機械,0,0,0
5200,金融科技,Q000,鋼鐵,0,0,0
5200,金融科技,R000,軟體服務,0,0,18
5200,金融科技,R300,電子商務,0,0,15
5200,金融科技,S000,建材營造,0,0,0
5200,金融科技,T000,交通運輸及航運,0,0,0
5200,金融科技,U000,金融,0,0,2
5200,金融科技,V000,貿易百貨,0,0,0
5200,金融科技,W000,油電燃氣,0,0,0
5200,金融科技,X000,其他,0,0,2
5200,金融科技,Y000,文化創意,0,0,1
5300,人工智慧,1000,水泥,0,0,0
5300,人工智慧,2000,造紙,0,0,0
5300,人工智慧,3000,汽車,0,0,4
5300,人工智慧,4100,太空衛星科技,0,0,5
5300,人工智慧,5100,區塊鏈,0,0,6
5300,人工智慧,5200,金融科技,0,0,15
5300,人工智慧,5400,雲端運算,0,0,49
5300,人工智慧,5500,資通訊安全,0,0,26
5300,人工智慧,5600,大數據,0,0,46
