A_name,n_targets,mean_t,mean_beta,n_sig5_pos
醫療器材,20,1.7722449850867534,0.3653243833571191,6
汽車,3,1.3583161802136463,0.35095752669604313,0
連接器,13,0.7818250863810715,0.1902064029145979,0
再生醫療,3,0.7193285595928911,0.07663880352731749,0
半導體,20,0.5186835557397598,0.13544336164726406,0
水泥,1,0.5034539010889647,0.06514411935662097,0
建材營造,15,0.42690824059308496,0.09044915085615084,0
製藥,11,0.4150889390631392,0.04397904276929272,0
雲端運算,14,0.23372279967477846,0.04912656996816157,0
電腦週邊,15,0.16796230309942026,0.06949941983267824,0
平面顯示器,16,0.14975708902777699,0.05205298792371384,0
通信網路,14,-0.24453864888675517,-0.08995424683449801,0
印刷電路板,15,-0.26666498973801683,-0.07299532645039337,0
觸控面板,13,-0.27762789799346044,-0.0697205334767249,0
電機機械,16,-0.2805900168333382,-0.07470847693144543,0
貿易百貨,11,-0.30652899627192165,-0.07594916676810476,0
食品,4,-0.42884819279386416,-0.11574762180641388,0
被動元件,15,-0.4361240988796116,-0.0735936407216779,0
太空衛星科技,1,-0.4599241690875756,-0.08194545190232728,0
運動科技,11,-0.6192424986164946,-0.12211244970952727,0
食品生技,6,-0.7267921099039469,-0.18317498449793854,0
石化及塑橡膠,17,-0.8923209691369968,-0.2261660839531151,0
造紙,2,-0.9506491339195129,-0.14622968532386146,0
紡織,11,-1.7890903531590785,-0.39359786724596474,0
自動化,7,-1.970124956894583,-0.20577549216042496,0
鋼鐵,1,-2.852124859363114,-0.3375141139143281,0
