B_name,n_sources,mean_t,mean_beta,n_sig5_pos
水泥,1,1.0248406387272486,0.21079717976986917,0
自動化,4,0.7918881030069338,0.2422808703100661,0
食品,8,0.6179613811098139,0.0838420217110268,1
食品生技,6,0.5004114594943966,0.15413708384576766,0
通信網路,10,0.36343898510919553,0.09377547170706955,0
紡織,8,0.33200325392297125,0.06402592152223244,0
太空衛星科技,11,0.2756149490342591,0.07431476408782846,1
造紙,3,0.22339893346009196,0.029868931544847415,0
雲端運算,14,0.14959429780180603,0.04106163378362448,1
醫療器材,19,0.009740129535270328,0.02858768818043377,0
汽車,13,0.006563504938646594,-0.004228101242110497,1
石化及塑橡膠,6,-0.007513254297337069,-0.031053881614778064,0
連接器,14,-0.008603361494042385,-0.023618834475106123,0
運動科技,12,-0.05485810871814575,-0.017910988371984345,0
電機機械,15,-0.06880717426095549,0.0032636860058932017,0
貿易百貨,13,-0.08736911027207336,-0.041237915384055,1
觸控面板,12,-0.12396984706851732,0.00436989158102798,0
電腦週邊,17,-0.13799291140281952,-0.031071329179771543,0
建材營造,14,-0.16110886046894898,-0.029717597226988968,1
平面顯示器,16,-0.20973504548931862,-0.04157463895006487,0
被動元件,15,-0.2363765182697043,-0.06390501550878022,0
製藥,9,-0.2972367876226123,-0.030427307722290107,0
印刷電路板,16,-0.3052919018368743,-0.05823323911055062,0
半導體,16,-0.47596892760093384,-0.1267724260722908,0
再生醫療,3,-1.2131613629686262,-0.20492155928008748,0
