A,B,n,beta_AB,t_AB,p_AB,L_strict,L_loose,S_undir,A_name,B_name
1000,2000,206,0.22198727770109092,1.3582631444849689,0.17438020047196212,0,0,0,水泥,造紙
1000,3000,206,-0.030541877148877374,-0.21484711445340982,0.829886518488568,0,0,0,水泥,汽車
1000,4100,206,0.04999231421546574,0.30311887057044656,0.76179927363035,0,0,0,水泥,太空衛星科技
1000,5100,206,0.03532346988612603,0.20298646707540613,0.8391456097329065,0,0,0,水泥,區塊鏈
1000,5200,206,0.016152841007813112,0.10112691653687654,0.9194497112638069,0,0,0,水泥,金融科技
1000,5300,206,0.07707048478177322,0.49319911160452495,0.6218719055476416,0,0,0,水泥,人工智慧
1000,5400,206,0.05234072027668124,0.38184487065207123,0.7025764340482603,0,0,0,水泥,雲端運算
1000,5500,206,0.0613293122128643,0.40921001394256995,0.6823855461425266,0,0,0,水泥,資通訊安全
1000,5600,206,0.05850650159720128,0.4199195200300355,0.6745442473479328,0,0,0,水泥,大數據
1000,5700,206,0.09216279632414831,0.5820010522645327,0.5605659720945948,0,0,0,水泥,體驗科技
1000,5800,206,0.1385231118575336,0.9549506037620006,0.3396026774226786,0,0,0,水泥,運動科技
1000,6000,206,0.08243216240238709,0.501626430637247,0.615930323817934,0,0,0,水泥,自動化
1000,B000,206,0.17536342393792284,0.997364589509084,0.318587572813429,0,0,0,水泥,休閒娛樂
1000,C100,206,0.17852734671836687,0.8296938865055694,0.4067118788335279,0,0,0,水泥,製藥
1000,C200,206,0.012704228272923593,0.08792366790404166,0.9299373451830627,0,0,0,水泥,醫療器材
1000,C300,206,0.008940870821386804,0.04613760741039387,0.9632005715317741,0,0,0,水泥,食品生技
1000,C400,206,0.049037116082389316,0.2382829004502174,0.811661682904982,0,0,0,水泥,再生醫療
1000,D000,206,0.09965310984332627,0.49649508863554426,0.6195451516421927,0,0,0,水泥,半導體
1000,F000,206,0.08540596788510561,0.5166154894369247,0.605424600798381,0,0,0,水泥,電腦週邊
1000,G000,206,0.10593746035753869,0.5996319420946599,0.548751554479785,0,0,0,水泥,平面顯示器
1000,H000,206,0.05672174237458818,0.3094712777769159,0.7569630575364199,0,0,0,水泥,觸控面板
1000,I000,206,0.06209003160140967,0.3597716696848643,0.7190178908331835,0,0,0,水泥,通信網路
1000,J000,206,-0.040995868008967665,-0.2095279994651549,0.8340360800292702,0,0,0,水泥,被動元件
1000,K000,206,-0.03158934326835423,-0.20518111990387847,0.8374306197719064,0,0,0,水泥,連接器
1000,L000,206,-0.008169324033944863,-0.049975192372898485,0.960142157231597,0,0,0,水泥,印刷電路板
1000,M000,206,0.13036485689936642,0.952867107146154,0.34065740775641784,0,0,0,水泥,食品
1000,N000,206,0.1318437915367549,0.8425343326487766,0.3994889305288265,0,0,0,水泥,石化及塑橡膠
1000,O000,206,0.17735306663268952,1.5497176258386236,0.12120930571909347,0,0,0,水泥,紡織
1000,P000,206,-0.030732630503869943,-0.23404926330699488,0.8149467339854018,0,0,0,水泥,電機機械
1000,Q000,206,0.16057611585003168,1.2720272677467042,0.20336343111565658,0,0,0,水泥,鋼鐵
1000,R000,206,0.08245528792958119,0.6021152119443306,0.547097449384089,0,0,0,水泥,軟體服務
1000,R300,206,0.05779386606996074,0.3999679794611922,0.689180101347024,0,0,0,水泥,電子商務
1000,S000,206,0.06514411935662097,0.5034539010889647,0.614645183411593,1,3,3,水泥,建材營造
1000,T000,206,0.30370309623170477,1.7204896889025114,0.08534346637180949,0,0,1,水泥,交通運輸及航運
