weight,freq,pair,n_chains,sig5_lag1,share_lag1,sig5_lag2,share_lag2,sig5_lag3,share_lag3,sig5_lag5,share_lag5,sig5_lag4,share_lag4
EW,D,上游->下游,22,10,0.45454545454545453,12,0.5454545454545454,9.0,0.4090909090909091,10.0,0.45454545454545453,,
EW,D,下游->上游,22,7,0.3181818181818182,5,0.22727272727272727,6.0,0.2727272727272727,5.0,0.22727272727272727,,
EW,D,上游->中游,21,7,0.3333333333333333,9,0.42857142857142855,8.0,0.38095238095238093,8.0,0.38095238095238093,,
EW,D,中游->上游,21,5,0.23809523809523808,8,0.38095238095238093,7.0,0.3333333333333333,6.0,0.2857142857142857,,
EW,D,中游->下游,17,7,0.4117647058823529,6,0.35294117647058826,5.0,0.29411764705882354,5.0,0.29411764705882354,,
EW,D,下游->中游,17,7,0.4117647058823529,5,0.29411764705882354,6.0,0.35294117647058826,7.0,0.4117647058823529,,
EW,W,上游->下游,22,5,0.22727272727272727,4,0.18181818181818182,,,,,4.0,0.18181818181818182
EW,W,下游->上游,22,4,0.18181818181818182,6,0.2727272727272727,,,,,5.0,0.22727272727272727
EW,W,上游->中游,21,5,0.23809523809523808,4,0.19047619047619047,,,,,4.0,0.19047619047619047
EW,W,中游->上游,21,6,0.2857142857142857,7,0.3333333333333333,,,,,7.0,0.3333333333333333
EW,W,中游->下游,17,2,0.11764705882352941,3,0.17647058823529413,,,,,6.0,0.35294117647058826
EW,W,下游->中游,17,1,0.058823529411764705,5,0.29411764705882354,,,,,6.0,0.35294117647058826
EW,M,上游->下游,22,5,0.22727272727272727,3,0.13636363636363635,4.0,0.18181818181818182,,,,
EW,M,下游->上游,22,3,0.13636363636363635,2,0.09090909090909091,2.0,0.09090909090909091,,,,
EW,M,上游->中游,21,3,0.14285714285714285,3,0.14285714285714285,4.0,0.19047619047619047,,,,
EW,M,中游->上游,21,2,0.09523809523809523,1,0.047619047619047616,2.0,0.09523809523809523,,,,
EW,M,中游->下游,17,2,0.11764705882352941,2,0.11764705882352941,3.0,0.17647058823529413,,,,
EW,M,下游->中游,17,1,0.058823529411764705,1,0.058823529411764705,0.0,0.0,,,,
VW,D,上游->下游,22,4,0.18181818181818182,8,0.36363636363636365,6.0,0.2727272727272727,7.0,0.3181818181818182,,
VW,D,下游->上游,22,5,0.22727272727272727,8,0.36363636363636365,8.0,0.36363636363636365,6.0,0.2727272727272727,,
VW,D,上游->中游,21,3,0.14285714285714285,8,0.38095238095238093,7.0,0.3333333333333333,7.0,0.3333333333333333,,
VW,D,中游->上游,21,7,0.3333333333333333,11,0.5238095238095238,10.0,0.47619047619047616,8.0,0.38095238095238093,,
VW,D,中游->下游,17,5,0.29411764705882354,5,0.29411764705882354,7.0,0.4117647058823529,8.0,0.47058823529411764,,
VW,D,下游->中游,17,3,0.17647058823529413,3,0.17647058823529413,4.0,0.23529411764705882,5.0,0.29411764705882354,,
VW,W,上游->下游,22,3,0.13636363636363635,2,0.09090909090909091,,,,,2.0,0.09090909090909091
VW,W,下游->上游,22,2,0.09090909090909091,1,0.045454545454545456,,,,,2.0,0.09090909090909091
VW,W,上游->中游,21,4,0.19047619047619047,2,0.09523809523809523,,,,,0.0,0.0
VW,W,中游->上游,21,6,0.2857142857142857,5,0.23809523809523808,,,,,2.0,0.09523809523809523
VW,W,中游->下游,17,1,0.058823529411764705,2,0.11764705882352941,,,,,0.0,0.0
VW,W,下游->中游,17,1,0.058823529411764705,1,0.058823529411764705,,,,,0.0,0.0
VW,M,上游->下游,22,3,0.13636363636363635,3,0.13636363636363635,2.0,0.09090909090909091,,,,
VW,M,下游->上游,22,1,0.045454545454545456,1,0.045454545454545456,1.0,0.045454545454545456,,,,
VW,M,上游->中游,21,1,0.047619047619047616,2,0.09523809523809523,4.0,0.19047619047619047,,,,
VW,M,中游->上游,21,2,0.09523809523809523,3,0.14285714285714285,3.0,0.14285714285714285,,,,
VW,M,中游->下游,17,0,0.0,1,0.058823529411764705,1.0,0.058823529411764705,,,,
VW,M,下游->中游,17,0,0.0,0,0.0,1.0,0.058823529411764705,,,,
