lookback,hold,n_pick,n,gross_ann,gross_sharpe,net_ann_50bp,net_sharpe_50bp,daily_turnover
1,1,3,4245,0.16051130894641488,1.0861846360778222,-1.0994886910535853,-7.440271539760524,1.0
1,1,4,4245,0.15535111836328544,1.2328302169880374,-1.1046488816367144,-8.766235703943488,1.0
1,1,6,4245,0.14727275071337634,1.4698617267713452,-1.1127272492866238,-11.105619934030424,1.0
1,5,3,4241,0.16142250201641234,2.5528527322838173,-0.09057749798358766,-1.4324583643693225,0.2
1,5,4,4241,0.1561475725536692,2.844849918410661,-0.0958524274463308,-1.746333714579095,0.2
1,5,6,4241,0.1477027529499445,3.431909516999141,-0.1042972470500555,-2.4233719927292023,0.2
1,10,3,4236,0.1621383062478174,3.706885174640103,0.03613830624781737,0.8262116138174557,0.1
1,10,4,4236,0.1569312672123405,4.189498402386895,0.03093126721234049,0.825753190373221,0.1
1,10,6,4236,0.14822604493224759,5.046604307208137,0.02222604493224758,0.7567229776558637,0.1
1,20,3,4226,0.16090322491039522,5.325664999710555,0.0979032249103952,3.2404557370086438,0.05
1,20,4,4226,0.15606043196543168,6.164096951713057,0.09306043196543166,3.6757140665244403,0.05
1,20,6,4226,0.14727218342870682,7.231181576412971,0.08427218342870682,4.137831367922637,0.05
5,1,3,4241,0.12441993545352456,0.83041951725733,-1.1355800645464753,-7.579234353163445,1.0
5,1,4,4241,0.11799283659677133,0.9197557594841183,-1.1420071634032287,-8.901961307208557,1.0
5,1,6,4241,0.09194485646733186,0.8954878512116307,-1.1680551435326683,-11.376157740269026,1.0
5,5,3,4237,0.12518766848988302,1.8763636577803338,-0.12681233151011698,-1.9007147674709257,0.2
5,5,4,4237,0.11876158234599062,2.0673215886747163,-0.1332384176540094,-2.319324581366115,0.2
5,5,6,4237,0.09305535454438593,2.0399067299130973,-0.15894464545561404,-3.484294413105531,0.2
5,10,3,4232,0.12536123650725858,2.6719887500591923,-0.0006387634927414168,-0.013614805613813149,0.1
5,10,4,4232,0.11903840808818271,2.9273924699733307,-0.006961591911817293,-0.17119946468524977,0.1
5,10,6,4232,0.09364808726569916,2.8960463015739992,-0.03235191273430084,-1.000475716681657,0.1
5,20,3,4222,0.12497163963041705,3.6677753256393144,0.06197163963041705,1.8187970598613534,0.05
5,20,4,4222,0.11851098342356217,4.000751245975445,0.05551098342356218,1.873966696431817,0.05
5,20,6,4222,0.09346836460104378,3.9830166827965154,0.030468364601043782,1.2983644789493725,0.05
10,1,3,4236,0.05746593573194782,0.39665080461346136,-1.2025340642680522,-8.300327804491687,1.0
10,1,4,4236,0.03760005786532234,0.3011903104007233,-1.2223999421346778,-9.79187370732557,1.0
10,1,6,4236,0.0425400070149961,0.42211801466972143,-1.217459992985004,-12.080670202933437,1.0
10,5,3,4232,0.05718881284751366,0.8625145141175838,-0.19481118715248633,-2.938117930153915,0.2
10,5,4,4232,0.037301668748151336,0.6533436019186252,-0.21469833125184867,-3.760469324122471,0.2
10,5,6,4232,0.042368963471693576,0.9221417242924759,-0.20963103652830642,-4.562526662201219,0.2
10,10,3,4227,0.05710695085958087,1.2101994058088887,-0.06889304914041913,-1.459968110346239,0.1
10,10,4,4227,0.03737864673028471,0.9179997123919542,-0.0886213532697153,-2.1764933706781298,0.1
10,10,6,4227,0.04219877417015308,1.2899318442882801,-0.08380122582984692,-2.561635306097826,0.1
10,20,3,4217,0.057743856034384,1.747863704535717,-0.0052561439656160025,-0.15909958035785074,0.05
10,20,4,4217,0.03771450767784519,1.3273858594241466,-0.02528549232215481,-0.8899388331860035,0.05
10,20,6,4217,0.042391298506614314,1.8214358352812843,-0.020608701493385687,-0.8854984098401855,0.05
20,1,3,4226,0.05840853362532605,0.40213831453886245,-1.201591466374674,-8.272865916337137,1.0
20,1,4,4226,0.04596058084523292,0.36849103352918877,-1.214039419154767,-9.733615896108002,1.0
20,1,6,4226,0.053581006475140074,0.5271244256743881,-1.20641899352486,-11.868625860537323,1.0
20,5,3,4222,0.05810797788773617,0.8622201987997967,-0.19389202211226383,-2.877016615073332,0.2
20,5,4,4222,0.045807315450820736,0.8064255302367812,-0.20619268454917927,-3.629967033257742,0.2
20,5,6,4222,0.05331310597791546,1.1368909250054966,-0.19868689402208453,-4.236956796792292,0.2
20,10,3,4217,0.058329931298680054,1.266737160406915,-0.06767006870131995,-1.4695746894046255,0.1
20,10,4,4217,0.04583669271718506,1.1964155097776992,-0.08016330728281494,-2.0923984358993115,0.1
20,10,6,4217,0.05358624143555534,1.6638253399290868,-0.07241375856444467,-2.248410099893421,0.1
20,20,3,4207,0.057165591123484814,1.7988691263444236,-0.005834408876515184,-0.18359537253383384,0.05
20,20,4,4207,0.044007180112089476,1.6700958418866505,-0.018992819887910524,-0.7207875951085423,0.05
20,20,6,4207,0.05238513746608051,2.3353873523976008,-0.010614862533919486,-0.4732223090033155,0.05
