A_name,B_name,A_only,B_only,overlap,orig_beta,orig_t,excl_beta,excl_t
半導體,平面顯示器,227,80,58,0.2529683317017644,4.018416167696615,0.2171765017005583,3.9641219004432404
半導體,電腦週邊,240,261,40,0.18054717825540642,2.972547597079029,0.15957332554946652,2.880487864301513
半導體,印刷電路板,252,71,25,0.18470737329037876,2.843596377154202,0.16236748021586414,2.631568767949198
半導體,通信網路,252,135,21,0.19527785060923536,3.363693166416855,0.17241289743366817,3.1789806805860734
半導體,觸控面板,257,30,19,0.20421591826578675,3.472327425923572,0.20850246863145536,3.6523845917931927
半導體,被動元件,262,41,11,0.23862346773583046,3.362039573038859,0.2297884721768687,3.2630820481209866
半導體,雲端運算,263,39,11,0.15893826250135598,2.9936125207522624,0.1378243021462745,2.6818052267476284
半導體,連接器,266,49,7,0.2048996656910785,3.4014949274800754,0.20593180836777591,3.4443754209548887
鋼鐵,汽車,58,62,0,-0.10483511540584348,-3.7566886784851907,-0.10483511540584348,-3.7566886784851907
鋼鐵,電機機械,55,118,5,-0.0951450343014778,-3.878564355210689,-0.08952099820762931,-3.801626350964943
鋼鐵,建材營造,52,123,7,-0.10124470319885882,-3.6310113713567334,-0.09765748329155675,-3.6673704907263973
連接器,電腦週邊,35,273,22,-0.07387570922202819,-1.1708241098031615,-0.050822223710660454,-1.121676769346422
電機機械,汽車,105,46,21,-0.0605908782735517,-0.7711178800275117,-0.022035596548835672,-0.2883670108050947
通信網路,電腦週邊,97,235,69,-0.17465264761341576,-2.1011664727353545,-0.13744161042814942,-2.452318895838021
