src_code,src_name,dst_code,dst_name,n,beta,t,p
G100,化學品(如光阻劑、靶材等),G400,背光源(發光二極體、冷陰極管),4673,-0.029246947208506527,-0.8262721849305662,0.4086497082789443
G100,化學品(如光阻劑、靶材等),G500,塑膠框,4673,-0.014665131903700878,-0.4303050617918391,0.6669737455031405
G100,化學品(如光阻劑、靶材等),G600,稜鏡片,4673,-0.06193549892418965,-1.6018355773090063,0.10919197347657751
G100,化學品(如光阻劑、靶材等),G700,擴散膜、增亮膜、導光板,4673,-0.00385864885295795,-0.12279743108679154,0.9022675085609165
G100,化學品(如光阻劑、靶材等),G800,背光模組,4673,-0.007768379090015051,-0.25264065289496823,0.8005459123577126
G100,化學品(如光阻劑、靶材等),G900,驅動IC,4673,0.016050255963823912,0.4865909215537511,0.6265482583829037
G100,化學品(如光阻劑、靶材等),GA00,其他零組件,4673,-0.007372409411063422,-0.268880274267134,0.7880218170144815
G100,化學品(如光阻劑、靶材等),GB00,面板,4673,-0.0028411803901471798,-0.08598058098816276,0.9314818541784098
G100,化學品(如光阻劑、靶材等),GC00,顯示器模組,4673,-0.007279470493450814,-0.22703358469601015,0.8203976271434129
G100,化學品(如光阻劑、靶材等),GD00,生產製程及檢測,4673,-0.03898748825488558,-1.2247577066338513,0.2206665244323357
G100,化學品(如光阻劑、靶材等),GF00,監視器/顯示器,4673,-0.021657526424114285,-0.7610198606839197,0.4466452047425251
G100,化學品(如光阻劑、靶材等),GG00,電視,4673,-0.04720951112750226,-1.7993288664190152,0.07196667445794655
G400,背光源(發光二極體、冷陰極管),G100,化學品(如光阻劑、靶材等),4673,1.9145373392318933e-05,0.0007772049894908875,0.9993798802007365
G400,背光源(發光二極體、冷陰極管),G500,塑膠框,4673,0.01231517823375587,0.3811731429885858,0.7030747762862436
G400,背光源(發光二極體、冷陰極管),G600,稜鏡片,4673,0.0184419818211814,0.515224720462473,0.6063959964981407
G400,背光源(發光二極體、冷陰極管),G700,擴散膜、增亮膜、導光板,4673,0.03306090961808408,1.2307084199756808,0.21843193779709902
G400,背光源(發光二極體、冷陰極管),G800,背光模組,4673,0.02247022875214546,0.7687505207938375,0.44204142710800176
G400,背光源(發光二極體、冷陰極管),G900,驅動IC,4673,-0.0011845381373598886,-0.042125395411087244,0.9663987355255954
G400,背光源(發光二極體、冷陰極管),GA00,其他零組件,4673,-0.005602758344493123,-0.23505967670581235,0.8141624152097485
G400,背光源(發光二極體、冷陰極管),GB00,面板,4673,-0.0018721465545833529,-0.0655018804521584,0.9477744091689311
G400,背光源(發光二極體、冷陰極管),GC00,顯示器模組,4673,0.0171160798665871,0.6179886113533812,0.5365828458503665
G400,背光源(發光二極體、冷陰極管),GD00,生產製程及檢測,4673,0.017920177177084207,0.7211294411304845,0.4708298786270475
G400,背光源(發光二極體、冷陰極管),GF00,監視器/顯示器,4673,-0.01094878719110595,-0.4597397994866569,0.6457029985522278
G400,背光源(發光二極體、冷陰極管),GG00,電視,4673,-0.0033151635464514365,-0.13523072343706102,0.8924294564117186
G500,塑膠框,G100,化學品(如光阻劑、靶材等),4673,0.0027367079776894516,0.13710814479082625,0.8909453146591324
G500,塑膠框,G400,背光源(發光二極體、冷陰極管),4673,0.002844266421379845,0.11705181715489651,0.9068189915120176
G500,塑膠框,G600,稜鏡片,4673,-0.014026233796057047,-0.5179265976857765,0.6045094837501326
G500,塑膠框,G700,擴散膜、增亮膜、導光板,4673,0.0017525121425988302,0.07723832064365332,0.9384339572202908
G500,塑膠框,G800,背光模組,4673,0.03903049006308676,1.2670974410916886,0.20512045043919402
G500,塑膠框,G900,驅動IC,4673,0.006791296283621467,0.30389831331379713,0.761205362839437
G500,塑膠框,GA00,其他零組件,4673,-0.01307950476246684,-0.6721577722733569,0.5014832607609587
G500,塑膠框,GB00,面板,4673,0.006574799771526601,0.27739147101874234,0.7814795299179749
G500,塑膠框,GC00,顯示器模組,4673,0.00418110552984445,0.18746047011226993,0.8512996145154454
G500,塑膠框,GD00,生產製程及檢測,4673,0.0005240264732037832,0.02615950911440591,0.9791301118665963
G500,塑膠框,GF00,監視器/顯示器,4673,0.01099310182224944,0.5453872429081982,0.5854872124790018
G500,塑膠框,GG00,電視,4673,0.0017473904211617666,0.09277272753207016,0.9260841178239587
G600,稜鏡片,G100,化學品(如光阻劑、靶材等),4673,0.01379512523850851,0.7456903296031572,0.45585450220378365
G600,稜鏡片,G400,背光源(發光二極體、冷陰極管),4673,0.04414876532241986,1.9835754003416874,0.04730319380378372
G600,稜鏡片,G500,塑膠框,4673,0.04978656876355565,2.2441085131429626,0.02482542035747241
G600,稜鏡片,G700,擴散膜、增亮膜、導光板,4673,0.030647336064799923,1.5461718426553435,0.12206307181963878
G600,稜鏡片,G800,背光模組,4673,0.03610825713558448,1.6542670822622243,0.09807325817675033
G600,稜鏡片,G900,驅動IC,4673,0.029378533970162976,1.522103846298226,0.12798306240835147
G600,稜鏡片,GA00,其他零組件,4673,0.01282293952018565,0.7141981572708453,0.4751046561918404
G600,稜鏡片,GB00,面板,4673,0.03301948296352732,1.5609169367348799,0.11854335059318044
G600,稜鏡片,GC00,顯示器模組,4673,0.03446255589331957,1.699274249162133,0.08926752214603523
G600,稜鏡片,GD00,生產製程及檢測,4673,0.02233871861447509,1.1842122579338072,0.2363290510245688
G600,稜鏡片,GF00,監視器/顯示器,4673,0.021458623931125898,1.2378053416084156,0.21578824734636004
G600,稜鏡片,GG00,電視,4673,0.016446060152395095,0.9427144618638185,0.3458269741509744
G700,擴散膜、增亮膜、導光板,G100,化學品(如光阻劑、靶材等),4673,0.03561562245770892,1.0267237932667235,0.3045505422536574
G700,擴散膜、增亮膜、導光板,G400,背光源(發光二極體、冷陰極管),4673,0.06326795924595205,1.5902081417106537,0.1117878959091752
G700,擴散膜、增亮膜、導光板,G500,塑膠框,4673,0.02990705507307893,0.6998358167253549,0.4840298440845271
G700,擴散膜、增亮膜、導光板,G600,稜鏡片,4673,0.022295710267333076,0.46925858857336566,0.6388848116941529
G700,擴散膜、增亮膜、導光板,G800,背光模組,4673,0.04434803167604807,1.048475963628407,0.2944193709079933
G700,擴散膜、增亮膜、導光板,G900,驅動IC,4673,0.06591949986444373,1.8000997572171449,0.07184488794383347
G700,擴散膜、增亮膜、導光板,GA00,其他零組件,4673,0.01665592478578999,0.5127262178783002,0.6081428473446829
G700,擴散膜、增亮膜、導光板,GB00,面板,4673,0.04417945211369236,1.106603113151465,0.2684655607388394
G700,擴散膜、增亮膜、導光板,GC00,顯示器模組,4673,0.04413520014661605,1.107333450036743,0.2681497872407096
G700,擴散膜、增亮膜、導光板,GD00,生產製程及檢測,4673,0.011578427409091334,0.33986214492692496,0.7339603454765179
G700,擴散膜、增亮膜、導光板,GF00,監視器/顯示器,4673,0.033162957776943496,1.0116422312575986,0.31170914594564403
G700,擴散膜、增亮膜、導光板,GG00,電視,4673,0.01848924799233345,0.58357336317549,0.5595073855502583
G800,背光模組,G100,化學品(如光阻劑、靶材等),4673,0.003999919768365404,0.1580784147299899,0.8743950092898349
G800,背光模組,G400,背光源(發光二極體、冷陰極管),4673,-0.0030458481890306074,-0.09879626031084272,0.9213000378076576
G800,背光模組,G500,塑膠框,4673,-0.03792831120950693,-0.9009947841018995,0.3675910929424351
G800,背光模組,G600,稜鏡片,4673,-0.01744328507685505,-0.48316775437130965,0.6289766289574212
G800,背光模組,G700,擴散膜、增亮膜、導光板,4673,-0.025683404337879294,-0.8637087369496202,0.3877479128680431
G800,背光模組,G900,驅動IC,4673,0.0088110040522107,0.3202855595067784,0.7487518689062773
G800,背光模組,GA00,其他零組件,4673,-0.026234253540178873,-1.055140419043711,0.2913611086945105
G800,背光模組,GB00,面板,4673,-0.007436023510322588,-0.24108018105489187,0.8094929730536314
G800,背光模組,GC00,顯示器模組,4673,-0.022334463857832398,-0.7296636259290961,0.46559582011628353
G800,背光模組,GD00,生產製程及檢測,4673,0.0025736171199783257,0.10179328400772664,0.9189207565455262
G800,背光模組,GF00,監視器/顯示器,4673,-0.011807526533061358,-0.4893208271920488,0.6246145782594879
G800,背光模組,GG00,電視,4673,-0.010096435082126754,-0.4239669954902979,0.6715898834239856
G900,驅動IC,G100,化學品(如光阻劑、靶材等),4673,0.020391554048815052,0.8343476308253815,0.4040851186330937
G900,驅動IC,G400,背光源(發光二極體、冷陰極管),4673,0.005554652681647752,0.19664700728259685,0.8441037822766864
G900,驅動IC,G500,塑膠框,4673,0.003958152979787054,0.13965657878644608,0.888931335202299
G900,驅動IC,G600,稜鏡片,4673,0.028122392727699307,0.8698867639433422,0.38436228949924767
G900,驅動IC,G700,擴散膜、增亮膜、導光板,4673,-0.0011676378390230403,-0.04483706604357122,0.9642371803586167
G900,驅動IC,G800,背光模組,4673,0.019651517596695253,0.7395491720266243,0.4595735927076029
G900,驅動IC,GA00,其他零組件,4673,0.004412476606031346,0.18729006002182538,0.8514332160477088
G900,驅動IC,GB00,面板,4673,-0.010292347467237749,-0.3731357057007429,0.7090474452836409
G900,驅動IC,GC00,顯示器模組,4673,-0.0008971885765564454,-0.03407113820111086,0.9728204234964616
G900,驅動IC,GD00,生產製程及檢測,4673,-0.0076608768181500595,-0.30515243569696227,0.7602500565158794
G900,驅動IC,GF00,監視器/顯示器,4673,-0.006732694292341436,-0.29023550632754613,0.7716360745527244
