src_code,src_name,dst_code,dst_name,n,beta,t,p
I100,網路IC,I300,記憶體,4673,0.036530554804520575,1.3069116648616246,0.19124271395841708
I100,網路IC,I400,主/被動元件,4673,0.02556506801662309,1.1760981946236198,0.23955563928569557
I100,網路IC,I500,印刷電路板,4673,0.04371313889918654,1.626994950895836,0.10373817014753582
I100,網路IC,I600,塑膠/金屬機殼,4673,0.028817311528301866,1.4444287385977708,0.1486184116111633
I100,網路IC,I700,線材,4673,0.01965769487511444,1.1247929670988104,0.2606767753639099
I100,網路IC,I800,其他零組件,4673,0.019743428314147056,1.0767796459618175,0.28157872056734823
I100,網路IC,I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),4673,0.025485382494538626,1.4287283083093811,0.15308233813320377
I100,網路IC,IA00,光通訊設備(如光纖電纜、光傳輸設備),4673,0.021573093559048528,1.1471934289475836,0.25130168674886366
I100,網路IC,IB00,無線通訊設備(如行動電話、衛星定位系統、衛星/微波通訊設備、數位機上盒),4673,0.026560341180012038,1.525293128537073,0.12718600091313595
I100,網路IC,IC00,有線通訊設備(如電話機、傳真機),4673,0.016594238365852533,0.925050089185209,0.3549398532694479
I100,網路IC,ID00,電信服務業,4673,0.018556696026260353,1.4928106325381092,0.1354867632993947
I300,記憶體,I100,網路IC,4673,0.0359327019743955,1.4014485265077121,0.16107998974355098
I300,記憶體,I400,主/被動元件,4673,0.03827709265720182,1.708417473528102,0.08755890729229958
I300,記憶體,I500,印刷電路板,4673,0.035868303043164296,1.365670303135635,0.17204246937740164
I300,記憶體,I600,塑膠/金屬機殼,4673,0.03096719062877756,1.5680388991280707,0.11687205449292616
I300,記憶體,I700,線材,4673,0.019700352924678324,1.0558232505666685,0.2910489736731977
I300,記憶體,I800,其他零組件,4673,0.01970864497292606,1.0361111921451704,0.300150271364908
I300,記憶體,I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),4673,0.01799150180188254,0.946299361810931,0.3439959187888756
I300,記憶體,IA00,光通訊設備(如光纖電纜、光傳輸設備),4673,0.029349821464621013,1.4414776228383643,0.14944979471204345
I300,記憶體,IB00,無線通訊設備(如行動電話、衛星定位系統、衛星/微波通訊設備、數位機上盒),4673,0.011283326778372503,0.6178264143198212,0.5366897695670699
I300,記憶體,IC00,有線通訊設備(如電話機、傳真機),4673,0.018754777075052537,1.0281641255725835,0.30387263041961676
I300,記憶體,ID00,電信服務業,4673,0.01330744959337696,1.1318609112503764,0.2576929145776492
I400,主/被動元件,I100,網路IC,4673,0.033363109196105176,0.8716804161019005,0.38338274691014307
I400,主/被動元件,I300,記憶體,4673,-0.019147720595046002,-0.45752078937782276,0.6472967630258615
I400,主/被動元件,I500,印刷電路板,4673,0.0753702032371968,1.769195673172218,0.07686122602271073
I400,主/被動元件,I600,塑膠/金屬機殼,4673,0.007015959675275119,0.24358263199063426,0.807554080866568
I400,主/被動元件,I700,線材,4673,0.021878622110582134,0.7925577091807476,0.42803555654163705
I400,主/被動元件,I800,其他零組件,4673,0.0380277293038154,1.3050979019297055,0.19185951310033322
I400,主/被動元件,I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),4673,0.03510349220340099,1.2430194800876913,0.21386065515020825
I400,主/被動元件,IA00,光通訊設備(如光纖電纜、光傳輸設備),4673,0.02935932992784614,0.8931749136229564,0.37176351012722497
I400,主/被動元件,IB00,無線通訊設備(如行動電話、衛星定位系統、衛星/微波通訊設備、數位機上盒),4673,0.03219980432778987,1.187141872523927,0.23517166432765912
I400,主/被動元件,IC00,有線通訊設備(如電話機、傳真機),4673,0.010773770575132104,0.39329031972416356,0.6941050671346314
I400,主/被動元件,ID00,電信服務業,4673,0.006385406555776778,0.32923091013110234,0.7419811611579038
I500,印刷電路板,I100,網路IC,4673,-0.038163382665754905,-1.7511029676510292,0.07992817514398923
I500,印刷電路板,I300,記憶體,4673,-0.06533343531592502,-2.7744094612547485,0.005530202489971207
I500,印刷電路板,I400,主/被動元件,4673,-0.028560006025372578,-1.421409499438019,0.1551977464466219
I500,印刷電路板,I600,塑膠/金屬機殼,4673,-0.030394614361147234,-1.8305193144802303,0.06717232132492333
I500,印刷電路板,I700,線材,4673,-0.028608847023221824,-1.73800602411115,0.08220975230901673
I500,印刷電路板,I800,其他零組件,4673,-0.034517898419851464,-2.0320807476153555,0.04214548207207166
I500,印刷電路板,I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),4673,-0.04806686296731317,-2.7644989348175666,0.005701029330223388
I500,印刷電路板,IA00,光通訊設備(如光纖電纜、光傳輸設備),4673,-0.04257364887230546,-2.373139556698549,0.01763759839186901
I500,印刷電路板,IB00,無線通訊設備(如行動電話、衛星定位系統、衛星/微波通訊設備、數位機上盒),4673,-0.031021137530712815,-1.9760156956270842,0.04815299956153606
I500,印刷電路板,IC00,有線通訊設備(如電話機、傳真機),4673,-0.05538705258263245,-3.3448494972927985,0.0008232723132310221
I500,印刷電路板,ID00,電信服務業,4673,-0.004568895256557358,-0.3886932674847966,0.6975030632860664
I600,塑膠/金屬機殼,I100,網路IC,4673,0.0029396968539450257,0.06799093833857661,0.9457928477511014
I600,塑膠/金屬機殼,I300,記憶體,4673,0.07582529657310355,1.7399392050284233,0.08186969364148716
I600,塑膠/金屬機殼,I400,主/被動元件,4673,0.037853091035025196,1.0479787227676394,0.29464841004773934
I600,塑膠/金屬機殼,I500,印刷電路板,4673,0.066372867613466,1.5194418208007794,0.12865132193200346
I600,塑膠/金屬機殼,I700,線材,4673,0.03609160982977118,1.077942443735357,0.28105944250781745
I600,塑膠/金屬機殼,I800,其他零組件,4673,0.028558542567829383,0.8763824024076908,0.380822181710077
I600,塑膠/金屬機殼,I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),4673,0.007846744023863744,0.24478172199701606,0.806625447187737
I600,塑膠/金屬機殼,IA00,光通訊設備(如光纖電纜、光傳輸設備),4673,0.02613641309087231,0.786211529223232,0.4317435727793776
I600,塑膠/金屬機殼,IB00,無線通訊設備(如行動電話、衛星定位系統、衛星/微波通訊設備、數位機上盒),4673,0.016508205523358375,0.5238770793599395,0.6003640377615427
I600,塑膠/金屬機殼,IC00,有線通訊設備(如電話機、傳真機),4673,-0.002510284241065892,-0.07997339019651697,0.9362584197135397
I600,塑膠/金屬機殼,ID00,電信服務業,4673,-0.0086238332146814,-0.3924486504245766,0.6947267453296486
I700,線材,I100,網路IC,4673,-0.04993068089858187,-0.8852351205557143,0.3760298339679605
I700,線材,I300,記憶體,4673,-0.11256191825100369,-1.8699670952312748,0.06148838737363147
I700,線材,I400,主/被動元件,4673,-0.06603432508685834,-1.3484538106168769,0.17751246666187148
I700,線材,I500,印刷電路板,4673,0.0695020146529866,1.1647179761604067,0.24413317008338264
I700,線材,I600,塑膠/金屬機殼,4673,-0.054543752885034415,-1.1970638449085182,0.23128167080529116
I700,線材,I800,其他零組件,4673,-0.06421627674885025,-1.462324073094135,0.1436524247733973
I700,線材,I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),4673,-0.05003973866529002,-1.2155356432481161,0.22416186296223717
I700,線材,IA00,光通訊設備(如光纖電纜、光傳輸設備),4673,-0.05904539389451002,-1.352940444574491,0.17607465724248417
I700,線材,IB00,無線通訊設備(如行動電話、衛星定位系統、衛星/微波通訊設備、數位機上盒),4673,-0.04626172173644529,-1.1621214443395547,0.24518613790623145
I700,線材,IC00,有線通訊設備(如電話機、傳真機),4673,-0.05423878442090117,-1.2416339100183005,0.21437166446499578
I700,線材,ID00,電信服務業,4673,0.00041176185383531627,0.013844778779522797,0.9889538176500532
I800,其他零組件,I100,網路IC,4673,-0.08424814169689929,-1.8968801164555558,0.057843762265242085
I800,其他零組件,I300,記憶體,4673,-0.12904132859156997,-2.8323262675652234,0.0046210670202605055
I800,其他零組件,I400,主/被動元件,4673,-0.059183755563060915,-1.667596777477665,0.09539579840418655
I800,其他零組件,I500,印刷電路板,4673,-0.025709549638662822,-0.582551770552989,0.5601950807549885
I800,其他零組件,I600,塑膠/金屬機殼,4673,-0.0647446671662423,-2.0210607276926718,0.04327347908267633
I800,其他零組件,I700,線材,4673,-0.047183249117455466,-1.5298868277607014,0.12604474437737798
I800,其他零組件,I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),4673,-0.05436594735808114,-1.7728934829843719,0.07624635876917611
I800,其他零組件,IA00,光通訊設備(如光纖電纜、光傳輸設備),4673,-0.051433791678171505,-1.568774880166237,0.11670040356091729
I800,其他零組件,IB00,無線通訊設備(如行動電話、衛星定位系統、衛星/微波通訊設備、數位機上盒),4673,-0.04340517288195409,-1.4921184797413498,0.13566808815084433
I800,其他零組件,IC00,有線通訊設備(如電話機、傳真機),4673,-0.06848968801786401,-2.2556637333548495,0.02409169848075918
I800,其他零組件,ID00,電信服務業,4673,-0.01987926642356502,-0.865127816475669,0.3869686387512409
I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),I100,網路IC,4673,0.09482063907344342,1.470185726613714,0.14151145937361886
I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),I300,記憶體,4673,-0.021269731942433374,-0.28990909776367074,0.7718857813785934
I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),I400,主/被動元件,4673,0.06400950892183425,1.0785606106243377,0.28078364858237015
I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),I500,印刷電路板,4673,0.17360734851738732,2.2204340126543687,0.026389320362607903
I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),I600,塑膠/金屬機殼,4673,0.058048193292536764,1.0790872362741737,0.28054884060216834
I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),I700,線材,4673,0.05338007559662608,1.0415899969551403,0.29760180833437844
I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),I800,其他零組件,4673,0.07489738546689244,1.4646260375424467,0.1430229741415535
I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),IA00,光通訊設備(如光纖電纜、光傳輸設備),4673,0.015404072029503422,0.25024274158871174,0.8023996334658846
I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),IB00,無線通訊設備(如行動電話、衛星定位系統、衛星/微波通訊設備、數位機上盒),4673,0.07479964087734627,1.2024745244979187,0.22917973057503915
I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),IC00,有線通訊設備(如電話機、傳真機),4673,0.08381090602588034,1.4066832663403708,0.15952132989418444
I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),ID00,電信服務業,4673,0.025784053079251835,0.6787505433175066,0.49729593513231607
IA00,光通訊設備(如光纖電纜、光傳輸設備),I100,網路IC,4673,0.04329997754759674,0.8920879180186156,0.37234581028999003
IA00,光通訊設備(如光纖電纜、光傳輸設備),I300,記憶體,4673,-0.05402838082785125,-0.9512645654435222,0.34147008998546624
IA00,光通訊設備(如光纖電纜、光傳輸設備),I400,主/被動元件,4673,0.03810244216204564,0.8364090658660613,0.40292481414155734
IA00,光通訊設備(如光纖電纜、光傳輸設備),I500,印刷電路板,4673,0.14034402247144429,2.4962230987906766,0.01255236272755628
IA00,光通訊設備(如光纖電纜、光傳輸設備),I600,塑膠/金屬機殼,4673,0.04238638352847627,1.116205035870991,0.26433437940125204
IA00,光通訊設備(如光纖電纜、光傳輸設備),I700,線材,4673,0.06199492775222361,1.6936147857461938,0.09033850655943108
IA00,光通訊設備(如光纖電纜、光傳輸設備),I800,其他零組件,4673,0.06905970425061207,1.8476961715790636,0.06464630812693185
IA00,光通訊設備(如光纖電纜、光傳輸設備),I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),4673,0.05373946108360668,1.3098025723831364,0.19026263271135757
IA00,光通訊設備(如光纖電纜、光傳輸設備),IB00,無線通訊設備(如行動電話、衛星定位系統、衛星/微波通訊設備、數位機上盒),4673,0.05064918318893285,1.2653253449358124,0.20575472471598777
IA00,光通訊設備(如光纖電纜、光傳輸設備),IC00,有線通訊設備(如電話機、傳真機),4673,0.07436809067522417,1.7915965619201173,0.07319761426718742
IA00,光通訊設備(如光纖電纜、光傳輸設備),ID00,電信服務業,4673,0.05862672405077996,2.172657974621841,0.029806068986168416
IB00,無線通訊設備(如行動電話、衛星定位系統、衛星/微波通訊設備、數位機上盒),I100,網路IC,4673,0.04703608010103053,0.7235269364421264,0.46935621126372384
IB00,無線通訊設備(如行動電話、衛星定位系統、衛星/微波通訊設備、數位機上盒),I300,記憶體,4673,-0.01500095615194303,-0.21235224407748385,0.8318322398002671
IB00,無線通訊設備(如行動電話、衛星定位系統、衛星/微波通訊設備、數位機上盒),I400,主/被動元件,4673,0.031236911918370393,0.5480711308971287,0.5836430623800608
IB00,無線通訊設備(如行動電話、衛星定位系統、衛星/微波通訊設備、數位機上盒),I500,印刷電路板,4673,0.17139152000847527,2.4846437214440136,0.012968114925824486
IB00,無線通訊設備(如行動電話、衛星定位系統、衛星/微波通訊設備、數位機上盒),I600,塑膠/金屬機殼,4673,0.028753545401360176,0.5894563252897139,0.5555552018324512
IB00,無線通訊設備(如行動電話、衛星定位系統、衛星/微波通訊設備、數位機上盒),I700,線材,4673,0.02646691914799337,0.5545746739289803,0.5791856159196731
IB00,無線通訊設備(如行動電話、衛星定位系統、衛星/微波通訊設備、數位機上盒),I800,其他零組件,4673,0.040851908160108884,0.8342786478098205,0.4041239811326156
IB00,無線通訊設備(如行動電話、衛星定位系統、衛星/微波通訊設備、數位機上盒),I900,網路設備(如數據機、網路卡、閘道器、路由器、網路電話),4673,0.017820672156568813,0.2949106761764136,0.7680621160666933
IB00,無線通訊設備(如行動電話、衛星定位系統、衛星/微波通訊設備、數位機上盒),IA00,光通訊設備(如光纖電纜、光傳輸設備),4673,0.002323777640954441,0.04028057805238609,0.9678694376799171
