src_code,src_name,dst_code,dst_name,n,beta,t,p
P100,鋼鑄鐵元件,P200,傳動元件,4673,0.005001726507869019,0.22840368269647493,0.8193324267379556
P100,鋼鑄鐵元件,P300,五金元件及零配件,4673,0.05796743215135438,2.4961757080364655,0.012554039934821197
P100,鋼鑄鐵元件,P400,電控元件,4673,0.008861974180816247,0.44639244082869606,0.6553137922019999
P100,鋼鑄鐵元件,P500,油空壓元件,4664,0.0321996954509466,0.9888068786937716,0.3227576381083045
P100,鋼鑄鐵元件,P600,機械設備之沖壓零組件,4673,0.006741787009428829,0.3111535353286584,0.7556839043087777
P100,鋼鑄鐵元件,P700,金屬加工用機械,4673,0.0048583850022476446,0.2636720947119762,0.7920325999786659
P100,鋼鑄鐵元件,P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),4673,0.012431168774171275,0.6246301027436714,0.5322138578405096
P100,鋼鑄鐵元件,P900,手工具機,4673,0.009669278106215285,0.49475374616450524,0.6207739578327793
P100,鋼鑄鐵元件,PA00,輸送機械及零配件,4673,0.019730881682295715,1.0308967164788703,0.3025892565688634
P100,鋼鑄鐵元件,PB00,車用機械傳動設備及零配件,4673,0.013625009049271433,0.8336395313918918,0.40448414221630824
P100,鋼鑄鐵元件,PD00,冷凍空調設備及零件,4673,9.168287703715851e-05,0.005060823008425128,0.9959620646931815
P100,鋼鑄鐵元件,PE00,機電系統工程,4673,0.011877797007228377,0.6215013101963194,0.5342698327069599
P100,鋼鑄鐵元件,PF00,金屬加工處理,4673,0.01823288102618262,0.8990333994986446,0.3686348706972348
P200,傳動元件,P100,鋼鑄鐵元件,4673,0.0009929466979674362,0.03383329922999296,0.9730100821926875
P200,傳動元件,P300,五金元件及零配件,4673,0.04448775428872154,1.4841835206478893,0.13776024042610435
P200,傳動元件,P400,電控元件,4673,0.025892364121100117,0.9909089056924898,0.321730063334866
P200,傳動元件,P500,油空壓元件,4664,0.05302337000768791,1.3697575403979916,0.1707626002566217
P200,傳動元件,P600,機械設備之沖壓零組件,4673,0.0013484286679192321,0.0590454998860187,0.9529158676370393
P200,傳動元件,P700,金屬加工用機械,4673,0.042979852728261936,1.8387648385460291,0.06594978202282926
P200,傳動元件,P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),4673,0.04886801065486152,1.9667859905735305,0.04920788834546171
P200,傳動元件,P900,手工具機,4673,0.0554277493725792,2.252495827851851,0.02429095607857232
P200,傳動元件,PA00,輸送機械及零配件,4673,0.03695927965171062,1.5047195241042952,0.13239620132384747
P200,傳動元件,PB00,車用機械傳動設備及零配件,4673,0.03148085504793902,1.416927336496502,0.15650417318052995
P200,傳動元件,PD00,冷凍空調設備及零件,4673,0.019895251874322013,0.8957133369686728,0.37040588545892594
P200,傳動元件,PE00,機電系統工程,4673,0.03682688130204282,1.5770111737895882,0.11479295404794136
P200,傳動元件,PF00,金屬加工處理,4673,0.051022891746903686,2.01464833913293,0.043941508734698626
P300,五金元件及零配件,P100,鋼鑄鐵元件,4673,-0.019175510951135743,-0.7307210792206698,0.4649495374765231
P300,五金元件及零配件,P200,傳動元件,4673,-0.02477149264984642,-0.9521254917295078,0.34103334222683723
P300,五金元件及零配件,P400,電控元件,4673,-0.01822771328500907,-0.8425104682136323,0.3995022826589394
P300,五金元件及零配件,P500,油空壓元件,4664,0.03016577228360231,0.8564532470212888,0.391747122837234
P300,五金元件及零配件,P600,機械設備之沖壓零組件,4673,-0.018710445710182485,-0.8774829169767228,0.380224393617855
P300,五金元件及零配件,P700,金屬加工用機械,4673,0.017028145752088913,0.860151039430132,0.3897057894651136
P300,五金元件及零配件,P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),4673,0.004170425063806843,0.19460016163300115,0.8457059765117935
P300,五金元件及零配件,P900,手工具機,4673,-0.028862065023948707,-1.2750341640801304,0.20229714992957193
P300,五金元件及零配件,PA00,輸送機械及零配件,4673,0.01361568434784315,0.6201038771248669,0.5351893997735155
P300,五金元件及零配件,PB00,車用機械傳動設備及零配件,4673,-0.011034581595853531,-0.5355894334155515,0.5922423331394526
P300,五金元件及零配件,PD00,冷凍空調設備及零件,4673,1.0255299505871086e-06,4.9997529251127755e-05,0.9999601077433489
P300,五金元件及零配件,PE00,機電系統工程,4673,0.0033462957570694375,0.15420374693696323,0.8774490879008141
P300,五金元件及零配件,PF00,金屬加工處理,4673,0.028073363242122083,1.2600196156254184,0.20766228614369875
P400,電控元件,P100,鋼鑄鐵元件,4673,-0.003458583343892683,-0.08568698389713317,0.9317152494156017
P400,電控元件,P200,傳動元件,4673,-0.012495531972463675,-0.33561343715841,0.7371623897954359
P400,電控元件,P300,五金元件及零配件,4673,0.00818946389145802,0.21935529208912713,0.8263732936462566
P400,電控元件,P500,油空壓元件,4664,-0.0020973667706676987,-0.04143766745596347,0.9669469842853854
P400,電控元件,P600,機械設備之沖壓零組件,4673,-0.028333060379580742,-0.9139436384167599,0.36074646197963933
P400,電控元件,P700,金屬加工用機械,4673,0.01674952773303585,0.577581570703142,0.5635466522664871
P400,電控元件,P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),4673,0.027601341959462893,0.8887376758218869,0.3741440778176175
P400,電控元件,P900,手工具機,4673,0.034531573826072394,1.0373271447499721,0.2995834192665173
P400,電控元件,PA00,輸送機械及零配件,4673,0.004716021720337658,0.1433356400466715,0.8860251097392754
P400,電控元件,PB00,車用機械傳動設備及零配件,4673,0.022178315756515663,0.818214665861184,0.41323462227188157
P400,電控元件,PD00,冷凍空調設備及零件,4673,-0.0076918843767838745,-0.26570477826104844,0.7904665831113555
P400,電控元件,PE00,機電系統工程,4673,0.012489733910601182,0.37805437702506905,0.7053901992953302
P400,電控元件,PF00,金屬加工處理,4673,0.03553648868380572,1.0955569249861425,0.27327272100692457
P500,油空壓元件,P100,鋼鑄鐵元件,4667,0.01837600023158284,1.2854828582862843,0.198623603074353
P500,油空壓元件,P200,傳動元件,4667,-0.013768224771890129,-1.189679734465329,0.23417229351935742
P500,油空壓元件,P300,五金元件及零配件,4667,-0.01300663721675603,-0.9403963210944969,0.3470143085766483
P500,油空壓元件,P400,電控元件,4667,-0.0015567924280623692,-0.1414230295864241,0.8875357621273073
P500,油空壓元件,P600,機械設備之沖壓零組件,4667,0.01064812423509908,0.9891462695346023,0.3225915823407176
P500,油空壓元件,P700,金屬加工用機械,4667,0.007208341955647328,0.6898550140777983,0.4902853682366316
P500,油空壓元件,P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),4667,0.01373521087269453,1.2712148129191596,0.20365223820231448
P500,油空壓元件,P900,手工具機,4667,-0.004068672117647558,-0.366014970075976,0.7143539050179852
P500,油空壓元件,PA00,輸送機械及零配件,4667,0.004639340352685017,0.41302723559565047,0.6795866594646371
P500,油空壓元件,PB00,車用機械傳動設備及零配件,4667,-0.0060443055327363505,-0.6468621168614215,0.5177211857857171
P500,油空壓元件,PD00,冷凍空調設備及零件,4667,-0.00029257725912493465,-0.02826770234619508,0.9774486400947905
P500,油空壓元件,PE00,機電系統工程,4667,-0.007120551545253009,-0.6531030560541543,0.5136898422197183
P500,油空壓元件,PF00,金屬加工處理,4667,-0.011674262867235257,-0.9768496174232889,0.3286436077579995
P600,機械設備之沖壓零組件,P100,鋼鑄鐵元件,4673,0.052695716426501255,1.4949542309084878,0.13492638745984878
P600,機械設備之沖壓零組件,P200,傳動元件,4673,0.0315358934487506,1.1525459505336233,0.24909679887964364
P600,機械設備之沖壓零組件,P300,五金元件及零配件,4673,0.067945998516577,2.286721598073586,0.02221207822126505
P600,機械設備之沖壓零組件,P400,電控元件,4673,0.0342636788235927,1.2538194271996097,0.2099076462618903
P600,機械設備之沖壓零組件,P500,油空壓元件,4664,0.02097393463902191,0.5221561534837488,0.601561611725003
P600,機械設備之沖壓零組件,P700,金屬加工用機械,4673,0.0440746842718093,1.8928251220095826,0.05838112953778939
P600,機械設備之沖壓零組件,P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),4673,0.039056891241908816,1.5963405294222663,0.11041278596060862
P600,機械設備之沖壓零組件,P900,手工具機,4673,0.06103383910013086,2.2748255771244534,0.022916395259932932
P600,機械設備之沖壓零組件,PA00,輸送機械及零配件,4673,0.011512002565304318,0.44684989291002386,0.654983444564815
P600,機械設備之沖壓零組件,PB00,車用機械傳動設備及零配件,4673,0.043944713011570664,2.1007706603368583,0.03566110313446898
P600,機械設備之沖壓零組件,PD00,冷凍空調設備及零件,4673,-0.0008424338573533008,-0.032571092759149683,0.974016622230879
P600,機械設備之沖壓零組件,PE00,機電系統工程,4673,0.04221616590762305,1.5582116197007958,0.11918309139845762
P600,機械設備之沖壓零組件,PF00,金屬加工處理,4673,0.04834697002252756,1.9033965793957386,0.05698881703429525
P700,金屬加工用機械,P100,鋼鑄鐵元件,4673,-0.02339129357054741,-0.6445397547630131,0.5192254869995891
P700,金屬加工用機械,P200,傳動元件,4673,0.005077161253127352,0.13987506692396554,0.8887587013095364
P700,金屬加工用機械,P300,五金元件及零配件,4673,-0.021692731824290004,-0.5831239972194121,0.5598098302358421
P700,金屬加工用機械,P400,電控元件,4673,-0.001072420734289342,-0.0333832214144817,0.9733689895769023
P700,金屬加工用機械,P500,油空壓元件,4664,0.006170970361718299,0.13514146869230337,0.892500023621685
P700,金屬加工用機械,P600,機械設備之沖壓零組件,4673,-0.01634636987953522,-0.5139036734727432,0.6073193390668861
P700,金屬加工用機械,P800,專用機械(如紡織成衣生產用機械、食品飲料生產用機械、農林用機械等),4673,0.03900560903220116,1.1906684508110528,0.23378376795893552
P700,金屬加工用機械,P900,手工具機,4673,-0.00210990637287317,-0.06898362969389583,0.9450026500665567
P700,金屬加工用機械,PA00,輸送機械及零配件,4673,-0.0225327133451736,-0.6915622154953183,0.4892122970334045
P700,金屬加工用機械,PB00,車用機械傳動設備及零配件,4673,-0.00692236239594442,-0.2522419288055805,0.8008540710887974
P700,金屬加工用機械,PD00,冷凍空調設備及零件,4673,-0.017121370316709333,-0.5360332389022298,0.5919355785267232
P700,金屬加工用機械,PE00,機電系統工程,4673,-0.013976760364272764,-0.421020660296612,0.6737399954023324
P700,金屬加工用機械,PF00,金屬加工處理,4673,0.0014570979138678012,0.044927947864562244,0.964164740156772
