n,ann_ret,ann_vol,sharpe,max_dd,win,ann_alpha,t_alpha,beta,predictor,smooth_N,hold_K,cost_rt,avg_daily_turn,ann_turn
4672,0.2911222067786004,0.12540505612064282,2.3214550974606127,-0.18731833268390874,0.3645119863013699,0.24037871591555732,10.514850646836198,0.4221783370260516,D100,1,1,0.0,0.4351455479452055,109.65667808219179
4672,0.1266371896553128,0.12645093145515973,1.0014729681941419,-0.30791565963369905,0.3531678082191781,0.07581696038821573,3.123546024569138,0.42281678919515736,D100,1,1,0.003,0.4351455479452055,109.65667808219179
4672,0.01698051157312099,0.1277510392044041,0.132918774507594,-0.40766546496432576,0.339041095890411,-0.033890876630011973,-1.3388521035556302,0.4232424239745608,D100,1,1,0.005,0.4351455479452055,109.65667808219179
4672,-0.1475045055501667,0.13056947540804598,-1.1297012957216581,-0.9588526029962039,0.3184931506849315,-0.1984526321573536,-7.3499494596578145,0.42388087614366676,D100,1,1,0.008,0.4351455479452055,109.65667808219179
4672,-0.25716118363235846,0.13299866344105674,-1.9335621650538537,-0.9944684085726702,0.3056506849315068,-0.30816046917558104,-10.928572237930638,0.42430651092307076,D100,1,1,0.01,0.4351455479452055,109.65667808219179
4668,0.1590670304465475,0.12381244344433359,1.2847418726379023,-0.33535627058079753,0.3361182519280206,0.10942038663499884,4.2342791737403225,0.40642398764550897,D100,1,5,0.0,0.09575835475578406,24.131105398457585
4668,0.12287037234886108,0.12372749441777282,0.9930725012015712,-0.36645985804503034,0.3344044558697515,0.07329711672259853,2.803070957593079,0.4058232074795171,D100,1,5,0.003,0.09575835475578406,24.131105398457585
4668,0.09873926695040351,0.1238912288601794,0.7969835141585222,-0.38640716510577633,0.33161953727506427,0.04921493678099837,1.8654374144937185,0.4054226873688556,D100,1,5,0.005,0.09575835475578406,24.131105398457585
4668,0.06254260885271713,0.12446564186954437,0.502488943240012,-0.41519185816298787,0.3273350471293916,0.013091666868598115,0.4889570210077179,0.40482190720286376,D100,1,5,0.008,0.09575835475578406,24.131105398457585
4668,0.038411503454259546,0.12506544226562125,0.3071312327243762,-0.43365022105235884,0.3249785775492716,-0.01099051307300209,-0.40610901497973073,0.40442138709220227,D100,1,5,0.01,0.09575835475578406,24.131105398457585
