predictor,test_year,train_start,train_end,best_N,best_K,train_sharpe,test_sharpe,test_ann_ret,test_n_days,second_best_train_sharpe
D000,2012,2007-01-01,2012-01-01,10,10,1.3757461453783353,1.5506169394378149,0.19601885639076497,250,1.3648241182675624
D100,2012,2007-01-01,2012-01-01,20,1,1.652841582093111,2.2192898634093874,0.2581440628935628,250,1.2096368868532064
D100+0.5·2330,2012,2007-01-01,2012-01-01,20,1,1.838578479452132,1.4256602222993555,0.1819765463335249,250,1.684414837419585
D000,2013,2008-01-01,2013-01-01,20,1,1.4609207433613716,0.9732598344212383,0.08356532972500814,246,1.381877398116964
D100,2013,2008-01-01,2013-01-01,20,1,1.7441985959376567,0.7325149732655055,0.06194142979749689,246,1.1801351871809467
D100+0.5·2330,2013,2008-01-01,2013-01-01,20,1,1.7163520278330002,2.084920400588177,0.17381454963929963,246,1.6233721163895989
D000,2014,2009-01-01,2014-01-01,10,1,1.806533544996072,2.409660054915198,0.2101835299191801,248,1.6496755757902262
D100,2014,2009-01-01,2014-01-01,20,1,1.8309513905720327,1.523681477745982,0.15314891175231787,248,1.7875260863423916
D100+0.5·2330,2014,2009-01-01,2014-01-01,20,1,1.9437189076961445,1.917645501223957,0.1971496027054641,248,1.8835454921996067
D000,2015,2010-01-01,2015-01-01,10,1,0.8775210919455932,0.6016107407262883,0.049815084613839954,244,0.8486749703556973
D100,2015,2010-01-01,2015-01-01,10,1,0.8717510856101699,0.6989638033325667,0.05836692009922937,244,0.7815165872074297
D100+0.5·2330,2015,2010-01-01,2015-01-01,20,1,0.9609583216301619,0.666703725978654,0.05898778711817819,244,0.8298288231006501
D000,2016,2011-01-01,2016-01-01,3,1,0.8815279783386858,1.3070974284662409,0.1099701101611633,244,0.7961350383601714
D100,2016,2011-01-01,2016-01-01,20,20,0.8382712591381095,2.0536950960517903,0.21198310739891058,244,0.7797164336109496
D100+0.5·2330,2016,2011-01-01,2016-01-01,20,1,0.8365021628388404,1.7904567572828551,0.15696912425667225,244,0.835618754776723
D000,2017,2012-01-01,2017-01-01,5,20,1.6841732594857628,2.4083272011472556,0.21232524531783067,246,1.5504651369852471
D100,2017,2012-01-01,2017-01-01,10,20,1.7490447042293296,2.6874491801597267,0.24734503912454947,246,1.6183151436126297
D100+0.5·2330,2017,2012-01-01,2017-01-01,10,1,1.6132052432112454,1.730793111530948,0.1287590418349164,246,1.5636181529544795
D000,2018,2013-01-01,2018-01-01,10,20,1.8231030151774643,0.03751603080232371,0.0045745487579119375,247,1.8229815849578603
D100,2018,2013-01-01,2018-01-01,5,20,2.1680110689106726,0.03751603080232371,0.0045745487579119375,247,2.0997950025831975
D100+0.5·2330,2018,2013-01-01,2018-01-01,20,20,2.0241782678980105,-0.9249151681000759,-0.10116744570132845,247,1.824771518614551
D000,2019,2014-01-01,2019-01-01,10,1,1.417656728926323,2.004924820832991,0.15316893681296456,242,1.4097407148047973
D100,2019,2014-01-01,2019-01-01,10,20,1.6646514157105423,2.479896346670122,0.15258025977801282,242,1.6469009497965736
D100+0.5·2330,2019,2014-01-01,2019-01-01,10,1,1.4784531652954798,1.9217967845137973,0.14506389980142131,242,1.437592108898459
D000,2020,2015-01-01,2020-01-01,10,20,1.5225016891262786,1.8544505093477135,0.2875894211176932,245,1.3466559311757191
D100,2020,2015-01-01,2020-01-01,10,20,1.617666366998832,1.8544505093477135,0.2875894211176932,245,1.5996387144462842
D100+0.5·2330,2020,2015-01-01,2020-01-01,10,1,1.5625110724076066,2.286590795575064,0.3359037029403525,245,1.5263290649573118
D000,2021,2016-01-01,2021-01-01,1,20,2.270577203623838,2.3057525367528564,0.3010466215596288,244,1.8660234173122727
D100,2021,2016-01-01,2021-01-01,3,20,1.8712676953141913,2.5583916152530657,0.3187767993958828,244,1.8171136589694847
D100+0.5·2330,2021,2016-01-01,2021-01-01,3,20,1.9865653130707979,3.1827788092590423,0.42142026591132403,244,1.931949750580316
D000,2022,2017-01-01,2022-01-01,1,20,2.2216500249309754,0.8237089330986944,0.10247859224973574,246,1.8926934648921692
D100,2022,2017-01-01,2022-01-01,5,5,1.923058325339102,-1.6190842667669172,-0.19213782746391755,246,1.8993998827471676
D100+0.5·2330,2022,2017-01-01,2022-01-01,3,20,2.1684823683850785,0.34088991582253736,0.03946351737780783,246,1.9678327606748365
D000,2023,2018-01-01,2023-01-01,1,20,1.8452038011061735,3.779087065393929,0.33778140801886447,239,1.5250740682550132
D100,2023,2018-01-01,2023-01-01,1,20,1.6484123208174475,3.779087065393929,0.33778140801886447,239,1.6383286255207095
D100+0.5·2330,2023,2018-01-01,2023-01-01,3,20,1.8221471934122604,4.06379751103494,0.3663145218641215,239,1.719596260944343
