industry_code,industry_name,n_stocks,out_degree,out_weighted,in_degree,in_weighted,pagerank,eigenvector,hub,authority,betweenness,neg_out_degree
R300,電子商務,31,39,113.05244320586716,1,2.6205272017306322,0.01669144214109222,,0.30320507101594196,0.009093438129371221,0.014844804318488529,0
D000,半導體,297,26,76.03988273310271,3,7.637825917182843,0.02131071367017649,,0.24598273628585857,0.015097824182716258,0.05330634278002699,0
5700,體驗科技,19,25,66.57463119023191,2,5.367285535391874,0.017061071507838997,,0.2203770932784457,0.02066370519063468,0.0,0
B000,休閒娛樂,70,10,23.318477615725147,3,7.12783873042433,0.018487016918759383,,0.04223573151021331,0.021221721947186738,0.022267206477732792,0
4100,太空衛星科技,14,9,21.346789696074445,3,8.778044902401975,0.017777689586343213,,0.06270688076237906,0.03160420501008755,0.002699055330634278,0
5800,運動科技,24,5,11.517153787833715,3,8.059768471357842,0.017571242956981502,,0.03988559774352055,0.029778554178863458,0.0,0
V000,貿易百貨,69,5,11.285910300540108,3,7.318077234668676,0.01843180615497671,,0.016719151516191695,0.0204368298580228,0.0067476383265856945,0
5200,金融科技,18,3,7.047703748964634,5,13.802716558151413,0.03593369736816416,,0.022936980233058,0.03702623446608808,0.0067476383265856945,0
N000,石化及塑橡膠,89,1,2.427488424950723,3,7.827682808909977,0.017568376114757048,,0.0025930629885644353,0.02845558670651652,0.001349527665317139,4
5100,區塊鏈,7,1,2.3879873904685605,5,12.243295426129666,0.04287468592942137,,0.004658151163280485,0.030412327709150904,0.005398110661268556,0
1000,水泥,10,1,2.272769457288439,3,7.150544473746925,0.02092833166507227,,0.003457758495073079,0.013540212858421734,0.0,0
5400,雲端運算,59,1,2.252853822032587,4,10.65956531255705,0.026503915281443285,,0.0069658524493682586,0.03239369012810837,0.004723346828609986,0
F000,電腦週邊,303,1,2.1273152086618854,3,9.20416446285845,0.01783804646380558,,0.008063295477624334,0.03362431695083729,0.0,0
M000,食品,59,1,2.0988805511232127,4,9.942964562657394,0.039035820182194536,,0.0022420413702470316,0.014963999197982499,0.002699055330634278,0
T000,交通運輸及航運,36,1,2.049642463537357,4,9.722093198021817,0.05507444779155272,,0.002143831589826122,0.019186243518894332,0.004048582995951417,0
C200,醫療器材,118,1,2.0399605918874673,4,10.600905758881643,0.01934996467211588,,0.007679322755030677,0.03203931815378698,0.0,0
H000,觸控面板,45,1,2.0385118648905545,3,9.296123996546646,0.017932701520643878,,0.008147441365376821,0.033222918672223045,0.0,0
5300,人工智慧,61,0,0.0,4,11.165510638167223,0.028152800899449888,,-0.0,0.032903128968448006,0.0,1
2000,造紙,8,0,0.0,1,2.3376997142092453,0.016360557389472823,,-0.0,0.009999079010237057,0.0,2
3000,汽車,69,0,0.0,3,9.59953138146764,0.017868399864573073,,-0.0,0.035237739445071574,0.0,0
C100,製藥,78,0,0.0,3,6.91295670362627,0.02079747196802946,,-0.0,0.014118368072956997,0.0,0
6000,自動化,13,0,0.0,5,14.260047960019381,0.023721779201240006,,-0.0,0.03463520990752278,0.0,1
5600,大數據,40,0,0.0,4,11.064482946346963,0.020491372859670846,,-0.0,0.033988550846239564,0.0,0
5500,資通訊安全,33,0,0.0,4,11.058407087153752,0.0204219069063659,,-0.0,0.03393805207476334,0.0,0
J000,被動元件,51,0,0.0,3,9.406892135000525,0.01787639071245084,,-0.0,0.03406108563915955,0.0,0
I000,通信網路,162,0,0.0,4,12.660421138164153,0.019853600937948905,,-0.0,0.03864833912506502,0.0,6
G000,平面顯示器,131,0,0.0,5,14.580091043935536,0.03490873172095021,,-0.0,0.0393112092972117,0.0,0
C300,食品生技,40,0,0.0,4,10.55894896235781,0.019435200955502614,,-0.0,0.031451189096321094,0.0,0
C400,再生醫療,11,0,0.0,2,4.768475374308515,0.018237807492765257,,-0.0,0.011237306343231715,0.0,0
O000,紡織,74,0,0.0,3,7.717213427398137,0.021132612151487123,,-0.0,0.015008521072690871,0.0,0
L000,印刷電路板,94,0,0.0,3,9.191423179814164,0.01782346584824472,,-0.0,0.03359206806766778,0.0,1
K000,連接器,57,0,0.0,5,14.037853393523296,0.035757747237132785,,-0.0,0.03728113566796259,0.0,5
R000,軟體服務,72,0,0.0,4,10.74251161439411,0.028894907346666953,,-0.0,0.030887922325100826,0.0,0
Q000,鋼鐵,58,0,0.0,3,6.457047617041145,0.0647161225616049,,-0.0,0.01028776321258395,0.0,35
P000,電機機械,131,0,0.0,4,9.579488498833312,0.018975497682750767,,-0.0,0.02831063095388914,0.0,0
S000,建材營造,130,0,0.0,2,5.503536951356832,0.018194363615681,,-0.0,0.013896576505607777,0.0,2
U000,金融,46,0,0.0,1,2.1237016060649947,0.0163337015871921,,-0.0,0.009083741604680057,0.0,0
W000,油電燃氣,11,0,0.0,3,6.946454265470305,0.0644846696141187,,-0.0,0.010506650901355904,0.0,0
X000,其他,256,0,0.0,4,9.540368656384873,0.018833353195965633,,-0.0,0.028991486912240624,0.0,14
Y000,文化創意,35,0,0.0,1,2.3059132065232957,0.016356568325396458,,-0.0,0.009863118091099575,0.0,0
