A,A_name,n_A,B,B_name,n_B,n,beta_AB,t_AB,p_AB
1000,水泥,10,2000,造紙,8,4673,0.05716568509073696,1.634264938008703,0.10220323242019494
1000,水泥,10,3000,汽車,69,4673,0.005834338534814972,0.21421651130701294,0.8303782207722195
1000,水泥,10,4100,太空衛星科技,14,4673,0.0019880528933615585,0.05421220603715812,0.9567660959751579
1000,水泥,10,5100,區塊鏈,7,4673,0.023465266527908087,0.6432368334256869,0.5200704363989757
1000,水泥,10,5200,金融科技,18,4673,-0.006820110595140781,-0.1951297253218662,0.8452913923898546
1000,水泥,10,5300,人工智慧,61,4673,0.010808893067492855,0.338895554159038,0.734688413745152
1000,水泥,10,5400,雲端運算,59,4673,-0.00545347038239601,-0.18967696762268635,0.8495622703229336
1000,水泥,10,5500,資通訊安全,33,4673,-0.01151496808027194,-0.38575884352051953,0.6996752785440672
1000,水泥,10,5600,大數據,40,4673,-0.005130706983474781,-0.1744675391971356,0.8614980394687632
1000,水泥,10,5700,體驗科技,19,4673,0.015681428070646385,0.4494477499396148,0.6531086921123763
1000,水泥,10,5800,運動科技,24,4673,0.0030527180411265534,0.10090171811481465,0.91962847921245
1000,水泥,10,6000,自動化,13,4673,0.024963523546495687,0.7016604819451714,0.4828909233141445
1000,水泥,10,B000,休閒娛樂,70,4673,0.001606117873314843,0.059013957883668554,0.9529409907048016
1000,水泥,10,C100,製藥,78,4673,0.04640796872662381,1.2010853300969988,0.22971810295493855
1000,水泥,10,C200,醫療器材,118,4673,0.008235695609448973,0.2932717260524538,0.7693144633240792
1000,水泥,10,C300,食品生技,40,4673,0.026480546236904937,0.8066023444459788,0.4198956226007434
1000,水泥,10,C400,再生醫療,11,4673,0.01954263141832473,0.47185489301488814,0.6370303663030737
1000,水泥,10,D000,半導體,297,4673,0.05718180126335458,1.4797931869376397,0.1389284474415317
1000,水泥,10,F000,電腦週邊,303,4673,0.014340769198965165,0.4134809713152778,0.6792542611221664
1000,水泥,10,G000,平面顯示器,131,4673,0.005101956590539206,0.1465715040311603,0.8834702472102014
1000,水泥,10,H000,觸控面板,45,4673,0.011537903188660208,0.33066498636314046,0.7408975526877271
1000,水泥,10,I000,通信網路,162,4673,-0.0077950619969212025,-0.23190783816679397,0.8166095965019666
