industry_code,industry_name,n_stocks,out_degree,out_weighted,in_degree,in_weighted,pagerank,eigenvector,hub,authority,betweenness,neg_out_degree,community
R300,電子商務,31,39,113.05244320586716,1,2.620527201730632,0.0166914421410922,,0.3032050710159419,0.0090934381293712,0.0148448043184885,0,6
D000,半導體,297,26,76.03988273310271,3,7.637825917182843,0.0213107136701764,,0.2459827362858585,0.0150978241827162,0.0533063427800269,0,0
5700,體驗科技,19,25,66.57463119023191,2,5.367285535391874,0.0170610715078389,,0.2203770932784457,0.0206637051906346,0.0,0,0
B000,休閒娛樂,70,10,23.318477615725147,3,7.12783873042433,0.0184870169187593,,0.0422357315102133,0.0212217219471867,0.0222672064777327,0,1
4100,太空衛星科技,14,9,21.346789696074445,3,8.778044902401975,0.0177776895863432,,0.062706880762379,0.0316042050100875,0.0026990553306342,0,2
5800,運動科技,24,5,11.517153787833715,3,8.059768471357842,0.0175712429569815,,0.0398855977435205,0.0297785541788634,0.0,0,3
V000,貿易百貨,69,5,11.285910300540108,3,7.318077234668676,0.0184318061549767,,0.0167191515161916,0.0204368298580228,0.0067476383265856,0,1
5200,金融科技,18,3,7.047703748964634,5,13.802716558151412,0.0359336973681641,,0.022936980233058,0.037026234466088,0.0067476383265856,0,0
N000,石化及塑橡膠,89,1,2.427488424950723,3,7.827682808909977,0.017568376114757,,0.0025930629885644,0.0284555867065165,0.0013495276653171,4,4
5100,區塊鏈,7,1,2.3879873904685605,5,12.243295426129666,0.0428746859294213,,0.0046581511632804,0.0304123277091509,0.0053981106612685,0,1
1000,水泥,10,1,2.272769457288439,3,7.150544473746925,0.0209283316650722,,0.003457758495073,0.0135402128584217,0.0,0,1
5400,雲端運算,59,1,2.252853822032587,4,10.65956531255705,0.0265039152814432,,0.0069658524493682,0.0323936901281083,0.0047233468286099,0,0
F000,電腦週邊,303,1,2.1273152086618854,3,9.20416446285845,0.0178380464638055,,0.0080632954776243,0.0336243169508372,0.0,0,0
M000,食品,59,1,2.0988805511232127,4,9.942964562657394,0.0390358201821945,,0.002242041370247,0.0149639991979824,0.0026990553306342,0,1
T000,交通運輸及航運,36,1,2.049642463537357,4,9.722093198021817,0.0550744477915527,,0.0021438315898261,0.0191862435188943,0.0040485829959514,0,1
C200,醫療器材,118,1,2.0399605918874677,4,10.600905758881645,0.0193499646721158,,0.0076793227550306,0.0320393181537869,0.0,0,0
H000,觸控面板,45,1,2.0385118648905545,3,9.296123996546646,0.0179327015206438,,0.0081474413653768,0.033222918672223,0.0,0,0
5300,人工智慧,61,0,0.0,4,11.165510638167223,0.0281528008994498,,-0.0,0.032903128968448,0.0,1,0
2000,造紙,8,0,0.0,1,2.3376997142092453,0.0163605573894728,,-0.0,0.009999079010237,0.0,2,5
3000,汽車,69,0,0.0,3,9.59953138146764,0.017868399864573,,-0.0,0.0352377394450715,0.0,0,0
C100,製藥,78,0,0.0,3,6.91295670362627,0.0207974719680294,,-0.0,0.0141183680729569,0.0,0,2
6000,自動化,13,0,0.0,5,14.26004796001938,0.02372177920124,,-0.0,0.0346352099075227,0.0,1,3
5600,大數據,40,0,0.0,4,11.064482946346963,0.0204913728596708,,-0.0,0.0339885508462395,0.0,0,3
5500,資通訊安全,33,0,0.0,4,11.058407087153752,0.0204219069063659,,-0.0,0.0339380520747633,0.0,0,0
J000,被動元件,51,0,0.0,3,9.406892135000524,0.0178763907124508,,-0.0,0.0340610856391595,0.0,0,0
I000,通信網路,162,0,0.0,4,12.660421138164152,0.0198536009379489,,-0.0,0.038648339125065,0.0,6,2
G000,平面顯示器,131,0,0.0,5,14.580091043935536,0.0349087317209502,,-0.0,0.0393112092972117,0.0,0,0
C300,食品生技,40,0,0.0,4,10.55894896235781,0.0194352009555026,,-0.0,0.031451189096321,0.0,0,2
C400,再生醫療,11,0,0.0,2,4.768475374308515,0.0182378074927652,,-0.0,0.0112373063432317,0.0,0,2
O000,紡織,74,0,0.0,3,7.717213427398137,0.0211326121514871,,-0.0,0.0150085210726908,0.0,0,1
L000,印刷電路板,94,0,0.0,3,9.191423179814164,0.0178234658482447,,-0.0,0.0335920680676677,0.0,1,0
K000,連接器,57,0,0.0,5,14.037853393523296,0.0357577472371327,,-0.0,0.0372811356679625,0.0,5,0
R000,軟體服務,72,0,0.0,4,10.74251161439411,0.0288949073466669,,-0.0,0.0308879223251008,0.0,0,0
Q000,鋼鐵,58,0,0.0,3,6.457047617041145,0.0647161225616049,,-0.0,0.0102877632125839,0.0,35,1
P000,電機機械,131,0,0.0,4,9.579488498833312,0.0189754976827507,,-0.0,0.0283106309538891,0.0,0,1
S000,建材營造,130,0,0.0,2,5.503536951356832,0.018194363615681,,-0.0,0.0138965765056077,0.0,2,1
U000,金融,46,0,0.0,1,2.1237016060649947,0.0163337015871921,,-0.0,0.00908374160468,0.0,0,7
W000,油電燃氣,11,0,0.0,3,6.946454265470305,0.0644846696141187,,-0.0,0.0105066509013559,0.0,0,4
X000,其他,256,0,0.0,4,9.540368656384873,0.0188333531959656,,-0.0,0.0289914869122406,0.0,14,0
Y000,文化創意,35,0,0.0,1,2.305913206523296,0.0163565683253964,,-0.0,0.0098631180910995,0.0,0,8
