predictor,test_year,best_N,best_K,train_sharpe,test_sharpe,test_ann_ret,test_n_days
G_0.3GA+0.7D,2012,10,1,1.6262518869933413,1.3426008269215013,0.19293919286217107,250
D_D_macro,2012,20,1,1.7860625323090162,1.023685974103746,0.14798802226999386,250
I_3factor,2012,10,1,1.596034188869486,1.5723121971445735,0.2145808137868662,250
G_0.3GA+0.7D,2013,10,1,1.4551159394748006,1.7856861703445002,0.1642497545218477,246
D_D_macro,2013,20,1,1.4733024527149623,2.4405873508873603,0.232580352319829,246
I_3factor,2013,10,1,1.5133120635527078,2.0307392155915682,0.18723618048484816,246
G_0.3GA+0.7D,2014,10,1,1.701032382540384,2.452557954235956,0.23395110352587012,248
D_D_macro,2014,20,1,1.6917806661811505,2.3613837246227947,0.2594471421897679,248
I_3factor,2014,10,1,1.8551859777335606,2.3810453246658834,0.22305501878618653,248
G_0.3GA+0.7D,2015,5,1,0.9353132428662262,0.969739172181743,0.09520624840766777,244
D_D_macro,2015,20,1,0.8729012640481675,0.8216300784912575,0.07829927330957083,244
I_3factor,2015,10,1,1.1486044695164077,1.0956550441101731,0.10343610165802429,244
G_0.3GA+0.7D,2016,20,20,0.904169950423896,2.263181474651372,0.28675578203233826,244
D_D_macro,2016,20,20,0.8753315846686525,2.263181474651372,0.28675578203233826,244
I_3factor,2016,3,1,1.0713694757679972,2.1985611065407857,0.1958538819118348,244
G_0.3GA+0.7D,2017,10,1,1.7877837643775243,1.1656364350147845,0.09499251932997752,246
D_D_macro,2017,20,20,1.762105978413493,1.6906922534200044,0.16554368538191594,246
I_3factor,2017,20,1,1.8105633818206854,1.050887629385208,0.09503391148909691,246
G_0.3GA+0.7D,2018,20,20,2.2405076883628023,-0.46329034168706057,-0.047509222613740174,247
D_D_macro,2018,20,20,2.2261786905612815,-0.46329034168706057,-0.047509222613740174,247
I_3factor,2018,10,20,2.1552486207132757,-0.31360937647414916,-0.03262995166879777,247
G_0.3GA+0.7D,2019,20,20,1.721053493949462,1.0000622828766697,0.0888130726730577,242
D_D_macro,2019,20,20,1.721053493949462,1.0000622828766697,0.0888130726730577,242
I_3factor,2019,10,20,1.767015536695924,1.0000622828766697,0.0888130726730577,242
G_0.3GA+0.7D,2020,5,20,1.5369765777910145,1.836027541440474,0.27731899667442345,245
D_D_macro,2020,5,20,1.6481813130606413,2.973203520550762,0.31018442840413685,245
I_3factor,2020,10,20,1.566372311696766,1.7062165177627733,0.2680219527873101,245
G_0.3GA+0.7D,2021,3,20,2.064329566794334,3.1009011999085137,0.42669817962533235,244
D_D_macro,2021,3,20,1.939300900514078,3.1009011999085137,0.42669817962533235,244
I_3factor,2021,3,20,2.13071143501052,1.8997118904487176,0.2891197225279468,244
G_0.3GA+0.7D,2022,3,20,2.0515700323708805,0.8550664509573821,0.09810187114548684,246
D_D_macro,2022,3,20,1.9992670436360227,0.5834341176141074,0.06982696738805706,246
I_3factor,2022,1,20,1.9031575979188362,-0.09009281454348689,-0.01456279706172527,246
G_0.3GA+0.7D,2023,3,20,1.9040147763379054,3.462242945692656,0.3030767756863481,239
D_D_macro,2023,3,20,1.8325857123001688,3.7758606990788968,0.33297303532038675,239
I_3factor,2023,20,1,1.5503222272540964,1.9159826266479163,0.1896302352567238,239
G_0.3GA+0.7D,2024,3,20,2.5730569014972673,0.987928313172428,0.18222014551836346,242
D_D_macro,2024,3,20,2.544319205237778,0.987928313172428,0.18222014551836346,242
I_3factor,2024,1,20,1.9392228803798817,1.4044352878303552,0.26107278076217655,242
G_0.3GA+0.7D,2025,3,20,2.0772349836279558,1.260446485837172,0.1923998633339847,243
D_D_macro,2025,10,1,2.2317708284556277,0.020880605345095015,0.0026553879045135642,243
I_3factor,2025,10,1,1.8828133211483564,-0.02270973439311698,-0.0027608469266246255,243
G_0.3GA+0.7D,2026,3,20,1.723468669653204,2.9518615095051706,0.5414247988113464,75
D_D_macro,2026,10,1,1.8086121258015433,2.2810300632937817,0.4555679469164109,75
I_3factor,2026,10,1,1.5917328490115812,2.168810702695735,0.39661000953825226,75
