N,stock_id,name,sub,frequency
5,2308,台達電,D600,156
5,4938,和碩,D700,148
5,3702,大聯大,DB00,125
5,3711,日月光投控,D900,93
5,2347,聯強,DB00,81
5,6239,力成,D900,40
5,1434,福懋,D900,28
5,2360,致茂,D600,26
5,3653,健策,D800,24
5,8299,群聯,DA00,17
5,2337,旺宏,D900,14
5,3189,景碩,D700,12
5,3036,文曄,DB00,9
5,2449,京元電子,D900,4
5,6223,旺矽,D600,2
5,6147,頎邦,D900,1
10,2308,台達電,D600,156
10,4938,和碩,D700,154
10,8299,群聯,DA00,151
10,3702,大聯大,DB00,148
10,2347,聯強,DB00,147
10,6239,力成,D900,135
10,2360,致茂,D600,107
10,1434,福懋,D900,93
10,3711,日月光投控,D900,93
10,2337,旺宏,D900,67
10,3189,景碩,D700,55
10,2451,創見,DA00,53
10,6147,頎邦,D900,51
10,3036,文曄,DB00,48
10,2449,京元電子,D900,44
10,3653,健策,D800,38
10,6223,旺矽,D600,9
10,8150,南茂,D900,8
10,6515,穎崴,D600,2
10,3374,精材,D900,1
15,2308,台達電,D600,156
15,4938,和碩,D700,156
15,2347,聯強,DB00,156
15,8299,群聯,DA00,156
15,6239,力成,D900,156
15,2449,京元電子,D900,156
15,2360,致茂,D600,156
15,3702,大聯大,DB00,154
15,6147,頎邦,D900,136
15,1434,福懋,D900,127
15,2337,旺宏,D900,126
15,3189,景碩,D700,116
15,3711,日月光投控,D900,93
15,2451,創見,DA00,92
15,3036,文曄,DB00,92
15,2441,超豐,D900,76
15,3653,健策,D800,64
15,8150,南茂,D900,48
15,6271,同欣電,D700,28
15,6223,旺矽,D600,24
15,3374,精材,D900,21
15,3260,威剛,DA00,12
15,5536,聖暉*,D600,12
15,6515,穎崴,D600,10
15,3026,禾伸堂,DB00,5
15,3131,弘塑,D600,5
15,2329,華泰,D900,4
15,8112,至上,DB00,1
15,4772,台特化,D600,1
15,3030,德律,D600,1
20,2308,台達電,D600,156
20,4938,和碩,D700,156
20,2347,聯強,DB00,156
20,8299,群聯,DA00,156
20,6239,力成,D900,156
20,2449,京元電子,D900,156
20,2360,致茂,D600,156
20,3036,文曄,DB00,156
20,3702,大聯大,DB00,155
20,3189,景碩,D700,155
20,2337,旺宏,D900,151
20,6147,頎邦,D900,148
20,2451,創見,DA00,142
20,1434,福懋,D900,133
20,2441,超豐,D900,129
20,6271,同欣電,D700,120
20,8150,南茂,D900,99
20,3711,日月光投控,D900,93
20,3653,健策,D800,83
20,3374,精材,D900,80
20,3264,欣銓,D900,54
20,3260,威剛,DA00,46
20,3450,聯鈞,D900,31
20,6548,長科*,D800,29
20,3010,華立,DB00,28
20,3030,德律,D600,25
20,6223,旺矽,D600,25
20,3026,禾伸堂,DB00,23
20,6257,矽格,D900,19
20,5536,聖暉*,D600,19
25,2308,台達電,D600,156
25,4938,和碩,D700,156
25,2347,聯強,DB00,156
25,3189,景碩,D700,156
25,8299,群聯,DA00,156
25,6239,力成,D900,156
25,2451,創見,DA00,156
25,2449,京元電子,D900,156
25,2337,旺宏,D900,156
25,2360,致茂,D600,156
25,3036,文曄,DB00,156
25,3702,大聯大,DB00,155
25,6147,頎邦,D900,153
25,2441,超豐,D900,150
25,3264,欣銓,D900,139
25,1434,福懋,D900,136
25,6271,同欣電,D700,128
25,8150,南茂,D900,121
25,6257,矽格,D900,111
25,3374,精材,D900,108
25,3653,健策,D800,93
25,3711,日月光投控,D900,93
25,8131,福懋科,D900,81
25,3010,華立,DB00,79
25,3260,威剛,DA00,72
25,6548,長科*,D800,70
25,3030,德律,D600,68
25,3026,禾伸堂,DB00,53
25,3450,聯鈞,D900,44
25,2329,華泰,D900,42
30,2308,台達電,D600,156
30,4938,和碩,D700,156
30,2347,聯強,DB00,156
30,6147,頎邦,D900,156
30,3189,景碩,D700,156
30,8299,群聯,DA00,156
30,6239,力成,D900,156
30,2451,創見,DA00,156
30,2449,京元電子,D900,156
30,2337,旺宏,D900,156
30,2360,致茂,D600,156
30,2441,超豐,D900,156
30,3036,文曄,DB00,156
30,6257,矽格,D900,156
30,3702,大聯大,DB00,155
30,3264,欣銓,D900,150
30,1434,福懋,D900,146
30,3010,華立,DB00,136
30,3260,威剛,DA00,133
30,6271,同欣電,D700,132
30,3374,精材,D900,126
30,8150,南茂,D900,124
30,3030,德律,D600,110
30,8131,福懋科,D900,109
30,3653,健策,D800,104
30,6548,長科*,D800,98
30,8112,至上,DB00,94
30,3026,禾伸堂,DB00,93
30,3711,日月光投控,D900,93
30,8070,長華*,D600,90
